age_group,sex,education,income_group,race_group,obesity_rate,n
40-44,Female,Attended college or technical school,50k-100k,NH-White,0.41718555417185554,4015
80+,Female,Attended college or technical school,50k-100k,NH-White,0.1886839481555334,4012
55-59,Female,Graduated high school,50k-100k,NH-White,0.4106060606060606,3960
45-49,Male,Graduated college or technical school,200k+,NH-White,0.28414603012509576,3917
80+,Female,Graduated college or technical school,35k-50k,NH-White,0.200818623688923,3909
40-44,Male,Graduated college or technical school,200k+,NH-White,0.25314505776636714,3895
80+,Female,Attended college or technical school,35k-50k,NH-White,0.2018681888946549,3854
35-39,Female,Attended college or technical school,50k-100k,NH-White,0.4084177708495713,3849
70-74,Female,Graduated high school,50k-100k,NH-White,0.3516949152542373,3776
50-54,Female,Graduated college or technical school,200k+,NH-White,0.1997880233174351,3774
40-44,Male,Graduated high school,50k-100k,NH-White,0.4347708894878706,3710
70-74,Male,Graduated college or technical school,35k-50k,NH-White,0.32461161079313167,3669
70-74,Male,Attended college or technical school,35k-50k,NH-White,0.3804945054945055,3640
70-74,Female,Attended college or technical school,25k-35k,NH-White,0.38567030506577105,3573
45-49,Male,Graduated high school,50k-100k,NH-White,0.443500424808836,3531
75-79,Female,Graduated college or technical school,35k-50k,NH-White,0.2680090754395916,3526
80+,Female,Attended college or technical school,15k-25k,NH-White,0.25071063104036384,3518
35-39,Male,Graduated high school,50k-100k,NH-White,0.3840662478583666,3502
18-24,Male,Attended college or technical school,50k-100k,NH-White,0.17444858206817532,3491
25-29,Male,Graduated college or technical school,100k-200k,NH-White,0.19485400404741254,3459
65-69,Male,Graduated high school,35k-50k,NH-White,0.40753623188405796,3450
75-79,Female,Attended college or technical school,35k-50k,NH-White,0.3297532656023222,3445
45-49,Female,Graduated college or technical school,200k+,NH-White,0.19802555168408828,3444
40-44,Female,Graduated college or technical school,200k+,NH-White,0.17950963222416813,3426
75-79,Female,Graduated college or technical school,100k-200k,NH-White,0.1931216931216931,3402
75-79,Female,Graduated high school,15k-25k,NH-White,0.3688573120189461,3378
80+,Male,Graduated college or technical school,35k-50k,NH-White,0.17477744807121662,3370
55-59,Female,Graduated college or technical school,200k+,NH-White,0.19180131657690005,3342
35-39,Male,Graduated college or technical school,200k+,NH-White,0.22042527702905063,3339
70-74,Female,Graduated high school,35k-50k,NH-White,0.36205343740618434,3331
65-69,Female,Attended college or technical school,25k-35k,NH-White,0.40732952838690295,3329
55-59,Male,Attended college or technical school,100k-200k,NH-White,0.49023730850105135,3329
70-74,Female,Graduated high school,25k-35k,NH-White,0.40765290750225974,3319
65-69,Male,Attended college or technical school,35k-50k,NH-White,0.39631197097944376,3308
30-34,Male,Graduated high school,50k-100k,NH-White,0.3475628216772631,3303
60-64,Male,Attended college or technical school,100k-200k,NH-White,0.43605359317904996,3284
25-29,Male,Attended college or technical school,50k-100k,NH-White,0.31566043518234754,3263
75-79,Female,Graduated high school,25k-35k,NH-White,0.33312883435582824,3260
70-74,Female,Graduated high school,15k-25k,NH-White,0.42173112338858193,3258
50-54,Male,Attended college or technical school,100k-200k,NH-White,0.5007732755954222,3233
65-69,Female,Graduated high school,35k-50k,NH-White,0.3972862101609341,3169
65-69,Female,Graduated high school,15k-25k,NH-White,0.42634920634920637,3150
65-69,Female,Graduated high school,25k-35k,NH-White,0.40738383195416933,3142
60-64,Female,Attended college or technical school,35k-50k,NH-White,0.4170117871933737,3139
65-69,Male,Graduated high school,25k-35k,NH-White,0.40012845215157355,3114
65-69,Male,Graduated college or technical school,200k+,NH-White,0.26503698938565456,3109
75-79,Male,Graduated high school,50k-100k,NH-White,0.35148195876288657,3104
30-34,Female,Attended college or technical school,50k-100k,NH-White,0.39961202715809896,3093
75-79,Female,Attended college or technical school,25k-35k,NH-White,0.35136010362694303,3088
25-29,Male,Graduated high school,50k-100k,NH-White,0.306109114668409,3061
80+,Male,Graduated high school,25k-35k,NH-White,0.22124183006535947,3060
75-79,Female,Graduated high school,35k-50k,NH-White,0.32437745740498036,3052
80+,Male,Graduated high school,35k-50k,NH-White,0.2291735265064208,3037
80+,Female,Graduated high school,50k-100k,NH-White,0.2079107505070994,2958
45-49,Male,Attended college or technical school,100k-200k,NH-White,0.47016949152542376,2950
25-29,Female,Graduated college or technical school,100k-200k,NH-White,0.20081549439347604,2943
80+,Male,Graduated high school,50k-100k,NH-White,0.22241144414168937,2936
55-59,Female,Attended college or technical school,100k-200k,NH-White,0.378839590443686,2930
70-74,Female,Attended college or technical school,15k-25k,NH-White,0.4221916867055994,2911
65-69,Female,Attended college or technical school,15k-25k,NH-White,0.4282765737874097,2907
60-64,Female,Attended college or technical school,100k-200k,NH-White,0.3332181126857933,2893
75-79,Female,Graduated high school,50k-100k,NH-White,0.29411764705882354,2890
65-69,Male,Graduated college or technical school,35k-50k,NH-White,0.34408979305506837,2851
70-74,Male,Graduated high school,35k-50k,NH-White,0.39191564147627417,2845
50-54,Female,Graduated high school,50k-100k,NH-White,0.4315381907778951,2841
18-24,Male,Graduated college or technical school,50k-100k,NH-White,0.17108088761632068,2794
65-69,Male,Graduated high school,15k-25k,NH-White,0.42498205312275666,2786
40-44,Male,Attended college or technical school,100k-200k,NH-White,0.43377001455604075,2748
50-54,Female,Attended college or technical school,100k-200k,NH-White,0.39524680073126145,2735
35-39,Female,Graduated college or technical school,200k+,NH-White,0.1643330876934414,2714
75-79,Male,Graduated college or technical school,35k-50k,NH-White,0.28750460744563217,2713
60-64,Male,Graduated high school,35k-50k,NH-White,0.4185185185185185,2700
60-64,Female,Graduated college or technical school,35k-50k,NH-White,0.35161170804001485,2699
80+,Male,Attended college or technical school,35k-50k,NH-White,0.22647824470063221,2689
60-64,Female,Graduated college or technical school,200k+,NH-White,0.19126506024096385,2656
60-64,Female,Graduated high school,35k-50k,NH-White,0.3956127080181543,2644
60-64,Female,Graduated high school,15k-25k,NH-White,0.4241733181299886,2631
65-69,Male,Attended college or technical school,100k-200k,NH-White,0.396504854368932,2575
18-24,Female,Graduated college or technical school,50k-100k,NH-White,0.1577924601632336,2573
