_STATE,state_name,year,obesity_rate,n
25.0,Massachusetts,2023,0.2853970840264557,6745.0
25.0,Massachusetts,2024,0.2772317678710205,6710.0
26.0,Michigan,2020,0.3643357939914088,5713.0
26.0,Michigan,2021,0.353493668646749,6741.0
26.0,Michigan,2022,0.3508566886695326,7148.0
26.0,Michigan,2023,0.3660809912052088,7445.0
26.0,Michigan,2024,0.368527506485832,8640.0
27.0,Minnesota,2020,0.31427682900841813,12363.0
27.0,Minnesota,2021,0.336913563708175,12155.0
27.0,Minnesota,2022,0.3431252039434497,12838.0
27.0,Minnesota,2023,0.34350974676250917,11968.0
27.0,Minnesota,2024,0.333547500281907,11561.0
28.0,Mississippi,2020,0.4079834998390972,4610.0
28.0,Mississippi,2021,0.4066004598470931,3226.0
28.0,Mississippi,2022,0.4017541130345106,3266.0
28.0,Mississippi,2023,0.41967056611880416,3135.0
28.0,Mississippi,2024,0.4302813874925541,2389.0
29.0,Missouri,2020,0.34972188577218316,6932.0
29.0,Missouri,2021,0.3883063186209586,9145.0
29.0,Missouri,2022,0.38401290895589035,5567.0
29.0,Missouri,2023,0.3720791457394485,5307.0
29.0,Missouri,2024,0.3535445124521158,5580.0
30.0,Montana,2020,0.29122413146722104,5086.0
30.0,Montana,2021,0.32465186811697716,4942.0
30.0,Montana,2022,0.30928049596170465,5611.0
30.0,Montana,2023,0.30539045023256556,5781.0
30.0,Montana,2024,0.3164928620924617,5575.0
31.0,Nebraska,2020,0.34670766699527555,11967.0
31.0,Nebraska,2021,0.3676760670443843,11912.0
31.0,Nebraska,2022,0.3579156486319848,6084.0
31.0,Nebraska,2023,0.37487862795297217,10600.0
31.0,Nebraska,2024,0.3845568220012385,10478.0
32.0,Nevada,2020,0.30349511842292853,1915.0
32.0,Nevada,2021,0.32960466869323246,2073.0
32.0,Nevada,2022,0.3530594773638441,2407.0
32.0,Nevada,2023,0.32331768125430455,2004.0
32.0,Nevada,2024,0.3697728594590222,2064.0
33.0,New Hampshire,2020,0.31135728517780525,4627.0
33.0,New Hampshire,2021,0.31430499069036777,4529.0
33.0,New Hampshire,2022,0.3213514293591076,4767.0
33.0,New Hampshire,2023,0.3335344026185548,5088.0
33.0,New Hampshire,2024,0.31789754796227115,5151.0
34.0,New Jersey,2020,0.2887375566711535,7448.0
34.0,New Jersey,2021,0.293022313925622,5166.0
34.0,New Jersey,2022,0.3106189801481371,5365.0
34.0,New Jersey,2023,0.29603052892486015,6714.0
34.0,New Jersey,2024,0.28591343333451,6167.0
35.0,New Mexico,2020,0.31764002508343886,5545.0
35.0,New Mexico,2021,0.3547173748871066,5094.0
35.0,New Mexico,2022,0.33398999419979714,3815.0
35.0,New Mexico,2023,0.35758024204771516,2617.0
35.0,New Mexico,2024,0.3543065050237963,2745.0
36.0,New York,2020,0.26757265161193483,10197.0
36.0,New York,2021,0.2987613677284894,26266.0
36.0,New York,2022,0.30610966173762244,12114.0
36.0,New York,2023,0.2928556923239525,12672.0
36.0,New York,2024,0.3062162476207075,32788.0
37.0,North Carolina,2020,0.3485090654259483,4228.0
37.0,North Carolina,2021,0.3658048572302803,3581.0
37.0,North Carolina,2022,0.3529472588141917,3207.0
37.0,North Carolina,2023,0.355111201821031,2980.0
37.0,North Carolina,2024,0.3622242987215822,3028.0
38.0,North Dakota,2020,0.34334181513591194,3398.0
38.0,North Dakota,2021,0.3697931536221294,4394.0
38.0,North Dakota,2022,0.3652181895489715,3192.0
38.0,North Dakota,2023,0.3651586459918075,4266.0
38.0,North Dakota,2024,0.37959347443185665,4418.0
39.0,Ohio,2020,0.3655142345212199,10929.0
39.0,Ohio,2021,0.3871070408252337,10748.0
39.0,Ohio,2022,0.392166431968427,12309.0
39.0,Ohio,2023,0.3741250599234304,10109.0
39.0,Ohio,2024,0.38149321127681707,7622.0
40.0,Oklahoma,2020,0.3763904297030054,3736.0
40.0,Oklahoma,2021,0.40817128846925166,3984.0
40.0,Oklahoma,2022,0.4088154251412019,4463.0
40.0,Oklahoma,2023,0.39266477684747525,5249.0
40.0,Oklahoma,2024,0.3844923888681656,5421.0
41.0,Oregon,2020,0.28767934421937924,3552.0
41.0,Oregon,2021,0.3145430987238301,3635.0
41.0,Oregon,2022,0.3167715416644038,4251.0
41.0,Oregon,2023,0.3493702510991129,4822.0
41.0,Oregon,2024,0.34780502427624843,4750.0
42.0,Pennsylvania,2020,0.32122469218633415,4209.0
42.0,Pennsylvania,2021,0.34495296533298986,4582.0
42.0,Pennsylvania,2022,0.3476807873563199,3404.0
42.0,Pennsylvania,2024,0.350921289127141,2739.0
44.0,Rhode Island,2020,0.31263813932479007,3865.0
44.0,Rhode Island,2021,0.3110990819558261,4034.0
44.0,Rhode Island,2022,0.311831509964947,4225.0
44.0,Rhode Island,2023,0.3191534689084357,4274.0
44.0,Rhode Island,2024,0.32082525403120327,4038.0
45.0,South Carolina,2020,0.37951750166367815,3094.0
45.0,South Carolina,2021,0.3823467415961702,6946.0
45.0,South Carolina,2022,0.36751168216999797,7072.0
45.0,South Carolina,2023,0.3672117284801245,7248.0
45.0,South Carolina,2024,0.35686802954191754,6935.0
46.0,South Dakota,2020,0.3413283101461176,5082.0
46.0,South Dakota,2021,0.398423997753821,5327.0
46.0,South Dakota,2022,0.3752131722622304,5516.0
46.0,South Dakota,2023,0.371967202706092,4573.0
46.0,South Dakota,2024,0.3911784251932232,4582.0
47.0,Tennessee,2020,0.3695618528027588,3469.0
47.0,Tennessee,2021,0.35735054019360846,3645.0
47.0,Tennessee,2022,0.40491177274888995,3917.0
47.0,Tennessee,2023,0.3802645655110623,4289.0
48.0,Texas,2020,0.36506249201692503,7997.0
48.0,Texas,2021,0.37038973233895006,7807.0
48.0,Texas,2022,0.3663871535616132,10040.0
48.0,Texas,2023,0.3534162147058753,7388.0
48.0,Texas,2024,0.3667457275283129,9131.0
49.0,Utah,2020,0.2941220071677568,8388.0
49.0,Utah,2021,0.31888397267284485,7875.0
49.0,Utah,2022,0.31970435735262737,7143.0
49.0,Utah,2023,0.31030080048494985,8086.0
49.0,Utah,2024,0.32061690581322116,9654.0
50.0,Vermont,2020,0.2675832296395938,4900.0
50.0,Vermont,2021,0.29639451773281567,4899.0
50.0,Vermont,2022,0.28141517855393794,6495.0
50.0,Vermont,2023,0.2963415972452907,5880.0
50.0,Vermont,2024,0.29418306463989474,5072.0
51.0,Virginia,2020,0.33467450530228837,7271.0
51.0,Virginia,2021,0.3571305190208885,7115.0
51.0,Virginia,2022,0.36404307771928246,7495.0
51.0,Virginia,2023,0.36091047437605167,5223.0
51.0,Virginia,2024,0.3352972343236638,5139.0
53.0,Washington,2020,0.28544392474287766,9747.0
53.0,Washington,2021,0.2967083721692828,9795.0
53.0,Washington,2022,0.3276041797336976,19051.0
53.0,Washington,2023,0.31450408049159995,20322.0
53.0,Washington,2024,0.3253523355241386,19487.0
54.0,West Virginia,2020,0.40459480962652883,4716.0
54.0,West Virginia,2021,0.42453109303579734,5326.0
54.0,West Virginia,2022,0.4131313047826515,3942.0
54.0,West Virginia,2023,0.4217653989195179,3541.0
54.0,West Virginia,2024,0.4190196787572223,4851.0
55.0,Wisconsin,2020,0.32788947197538926,4099.0
55.0,Wisconsin,2021,0.3455790915845108,4970.0
55.0,Wisconsin,2022,0.3894489772444588,8377.0
55.0,Wisconsin,2023,0.373139088742448,9365.0
55.0,Wisconsin,2024,0.38426697523496484,9694.0
56.0,Wyoming,2020,0.30942575566272235,3715.0
56.0,Wyoming,2021,0.32205368239464693,3268.0
