race,coverage,n
NH-White,0.8984854608086523,103926
NH-Black,0.8986416958221857,9718
AIAN,0.9452380952380952,840
Asian,0.8824795523030564,2323
Other/Multiracial,0.89119804400978,2454
Hispanic,0.9004470106165021,10738
