year,sex,obesity_rate
2020,Female,0.33345347424552213
2020,Male,0.3238152265292618
2021,Female,0.3506790990414661
2021,Male,0.3307199237681845
2022,Female,0.3564156413744509
2022,Male,0.3333416137525741
2023,Female,0.34946020010967227
2023,Male,0.32778440051831753
2024,Female,0.35343335547362736
2024,Male,0.33027161685500167
