age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
35-39,Male,Graduated college or technical school,50k-100k,NH-White,0.3144603108580868,4209,1,0.3146379040739283,0.3304627415111303
75-79,Female,Attended college or technical school,50k-100k,NH-White,0.2485493897388441,4152,1,0.2492022221815818,0.3369508241270115
60-64,Male,Graduated college or technical school,200k+,NH-White,0.2940369819182094,4105,1,0.2943672158988982,0.24004542200797255
75-79,Male,Attended college or technical school,50k-100k,NH-White,0.3317347086184787,3994,1,0.3317930052658793,0.31777981497901764
45-49,Male,Graduated college or technical school,200k+,NH-White,0.2693164026914514,3917,1,0.2698502600228299,0.26910100620874033
40-44,Male,Graduated college or technical school,200k+,NH-White,0.2598377902895608,3895,1,0.2604470879351678,0.25213353084328843
60-64,Female,Graduated high school,50k-100k,NH-White,0.3921300198381071,3866,1,0.391725175477879,0.4337082811646431
50-54,Female,Graduated college or technical school,200k+,NH-White,0.2086448986305924,3774,1,0.2096773066244874,0.29078846808357744
70-74,Female,Graduated college or technical school,35k-50k,NH-White,0.3673810975038353,3746,1,0.367160015417654,0.31353016833870206
50-54,Male,Graduated college or technical school,50k-100k,NH-White,0.3929645948125398,3733,1,0.3925387880422284,0.37457499191218874
40-44,Male,Graduated college or technical school,50k-100k,NH-White,0.3442723943065221,3725,1,0.3442346992701703,0.3494936396037663
55-59,Male,Attended college or technical school,50k-100k,NH-White,0.4632640662471747,3696,1,0.462268012833401,0.4330611492842923
65-69,Female,Graduated high school,50k-100k,NH-White,0.3866365806813502,3667,1,0.3862545221331365,0.4074832266955779
50-54,Female,Attended college or technical school,50k-100k,NH-White,0.4649101627835802,3651,1,0.463888517058013,0.47500186192698596
55-59,Male,Graduated high school,50k-100k,NH-White,0.4597119743279432,3644,1,0.4587308278221882,0.4348125259560185
70-74,Female,Attended college or technical school,35k-50k,NH-White,0.3642721070974517,3551,1,0.3640650319102892,0.3874165184175369
18-24,Male,Graduated high school,50k-100k,NH-White,0.1797443529763408,3487,1,0.1811075307922078,0.21075011776161906
80+,Female,Attended college or technical school,25k-35k,NH-White,0.1753980720371197,3470,1,0.176805124839,0.24053356712817398
25-29,Male,Graduated college or technical school,100k-200k,NH-White,0.1924119119042092,3459,1,0.1936771081239192,0.24363867010484905
80+,Female,Graduated high school,35k-50k,NH-White,0.1998655853786915,3447,1,0.201070836861675,0.236725937934246
45-49,Female,Graduated college or technical school,200k+,NH-White,0.1889894253596593,3444,1,0.1902896395815662,0.28656888991980856
40-44,Female,Graduated college or technical school,200k+,NH-White,0.1767968979834247,3426,1,0.1782097220656561,0.2689052355175029
75-79,Female,Graduated college or technical school,100k-200k,NH-White,0.1836125685324463,3402,1,0.1849756949636005,0.25181238198675615
65-69,Female,Attended college or technical school,35k-50k,NH-White,0.3705609894681462,3387,1,0.3702887615733994,0.41244753485517244
80+,Male,Attended college or technical school,50k-100k,NH-White,0.244056748398097,3382,1,0.2448964097450347,0.21541669768693694
55-59,Female,Graduated college or technical school,200k+,NH-White,0.1980508301660305,3342,1,0.1993097572308922,0.2741291610375427
35-39,Male,Graduated college or technical school,200k+,NH-White,0.2168158785850339,3339,1,0.2179088291965339,0.23647690985071243
55-59,Male,Attended college or technical school,100k-200k,NH-White,0.4551392753646167,3329,1,0.4541069588140826,0.4119407997620015
80+,Female,Attended college or technical school,50k-100k,NH-White,0.1764952036499542,3328,1,0.1779519549478088,0.23049879011351715
70-74,Male,Graduated high school,50k-100k,NH-White,0.367780427643203,3302,1,0.3675262902297571,0.3622089941454445
45-49,Male,Graduated college or technical school,50k-100k,NH-White,0.3978749620217006,3298,1,0.397349234289442,0.369773510572186
80+,Female,Attended college or technical school,35k-50k,NH-White,0.1927066369531773,3286,1,0.1940351737020009,0.23544006315557678
80+,Female,Graduated college or technical school,35k-50k,NH-White,0.1970522402415963,3285,1,0.1983418510290613,0.18193000105042656
60-64,Male,Attended college or technical school,100k-200k,NH-White,0.436785617336241,3284,1,0.4359054297827127,0.3899495676904368
65-69,Female,Graduated college or technical school,35k-50k,NH-White,0.3472645054178518,3268,1,0.3471943695188703,0.33640898364099525
50-54,Male,Attended college or technical school,50k-100k,NH-White,0.4528297222374924,3236,1,0.4517892247790018,0.45334671363962203
50-54,Male,Attended college or technical school,100k-200k,NH-White,0.5109739376647274,3233,1,0.5093979060489605,0.43199087593157304
35-39,Male,Attended college or technical school,50k-100k,NH-White,0.4045053453003551,3117,1,0.403886173584017,0.4059795293814792
65-69,Male,Graduated college or technical school,200k+,NH-White,0.267088301502754,3109,1,0.2677808717234013,0.22096137608025232
40-44,Male,Attended college or technical school,50k-100k,NH-White,0.4239566646523512,3052,1,0.4231350965239035,0.4265884756913316
70-74,Female,Graduated high school,50k-100k,NH-White,0.3329911730495977,3015,1,0.3330558337314389,0.3825573254328576
