_STATE,year,weighted_obesity_rate,state_name
41.0,2021,0.3145,Oregon
41.0,2022,0.3168,Oregon
41.0,2023,0.3494,Oregon
41.0,2024,0.3478,Oregon
42.0,2020,0.3212,Pennsylvania
42.0,2021,0.345,Pennsylvania
42.0,2022,0.3477,Pennsylvania
42.0,2024,0.3509,Pennsylvania
44.0,2020,0.3126,Rhode Island
44.0,2021,0.3111,Rhode Island
44.0,2022,0.3118,Rhode Island
44.0,2023,0.3192,Rhode Island
44.0,2024,0.3208,Rhode Island
45.0,2020,0.3795,South Carolina
45.0,2021,0.3823,South Carolina
45.0,2022,0.3675,South Carolina
45.0,2023,0.3672,South Carolina
45.0,2024,0.3569,South Carolina
46.0,2020,0.3413,South Dakota
46.0,2021,0.3984,South Dakota
46.0,2022,0.3752,South Dakota
46.0,2023,0.372,South Dakota
46.0,2024,0.3912,South Dakota
47.0,2020,0.3696,Tennessee
47.0,2021,0.3574,Tennessee
47.0,2022,0.4049,Tennessee
47.0,2023,0.3803,Tennessee
48.0,2020,0.3651,Texas
48.0,2021,0.3704,Texas
48.0,2022,0.3664,Texas
48.0,2023,0.3534,Texas
48.0,2024,0.3667,Texas
49.0,2020,0.2941,Utah
49.0,2021,0.3189,Utah
49.0,2022,0.3197,Utah
49.0,2023,0.3103,Utah
49.0,2024,0.3206,Utah
50.0,2020,0.2676,Vermont
50.0,2021,0.2964,Vermont
50.0,2022,0.2814,Vermont
50.0,2023,0.2963,Vermont
50.0,2024,0.2942,Vermont
51.0,2020,0.3347,Virginia
51.0,2021,0.3571,Virginia
51.0,2022,0.364,Virginia
51.0,2023,0.3609,Virginia
51.0,2024,0.3353,Virginia
53.0,2020,0.2854,Washington
53.0,2021,0.2967,Washington
53.0,2022,0.3276,Washington
53.0,2023,0.3145,Washington
53.0,2024,0.3254,Washington
54.0,2020,0.4046,West Virginia
54.0,2021,0.4245,West Virginia
54.0,2022,0.4131,West Virginia
54.0,2023,0.4218,West Virginia
54.0,2024,0.419,West Virginia
55.0,2020,0.3279,Wisconsin
55.0,2021,0.3456,Wisconsin
55.0,2022,0.3894,Wisconsin
55.0,2023,0.3731,Wisconsin
55.0,2024,0.3843,Wisconsin
56.0,2020,0.3094,Wyoming
56.0,2021,0.3221,Wyoming
56.0,2022,0.3455,Wyoming
56.0,2023,0.3423,Wyoming
56.0,2024,0.3326,Wyoming
66.0,2020,0.3495,Guam
66.0,2021,0.3464,Guam
66.0,2022,0.3474,Guam
66.0,2023,0.3664,Guam
66.0,2024,0.4511,Guam
72.0,2020,0.3212,Puerto Rico
72.0,2021,0.3734,Puerto Rico
72.0,2022,0.3545,Puerto Rico
72.0,2023,0.3679,Puerto Rico
72.0,2024,0.3802,Puerto Rico
78.0,2021,0.4006,Virgin Islands
78.0,2022,0.3323,Virgin Islands
78.0,2023,0.3341,Virgin Islands
78.0,2024,0.4028,Virgin Islands
