age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
30-34,Male,Attended college or technical school,<15k,NHOPI,0.0,1,0
75-79,Male,Did not graduate high school,25k-35k,NHOPI,0.0,1,0
18-24,Female,Graduated college or technical school,<15k,NHOPI,0.0,1,0
75-79,Male,Graduated college or technical school,200k+,NHOPI,0.0,1,0
35-39,Male,Did not graduate high school,100k-200k,Asian,0.0,1,0
75-79,Female,Did not graduate high school,100k-200k,Other/Multiracial,0.0,1,0
18-24,Male,Graduated college or technical school,<15k,NHOPI,1.0,1,0
35-39,Female,Did not graduate high school,100k-200k,Other/Multiracial,0.0,1,0
65-69,Male,Did not graduate high school,200k+,Asian,0.0,1,0
30-34,Male,Graduated high school,200k+,AIAN,1.0,1,0
80+,Male,Did not graduate high school,35k-50k,NHOPI,0.0,1,0
40-44,Male,Did not graduate high school,35k-50k,NHOPI,0.0,1,0
65-69,Male,Did not graduate high school,100k-200k,Asian,1.0,1,0
45-49,Male,Did not graduate high school,50k-100k,Asian,0.0,1,0
50-54,Male,Did not graduate high school,200k+,NHOPI,1.0,1,0
35-39,Female,Attended college or technical school,200k+,NHOPI,0.0,1,0
40-44,Male,Did not graduate high school,25k-35k,NHOPI,0.0,1,0
45-49,Male,Did not graduate high school,<15k,Asian,1.0,1,0
75-79,Female,Did not graduate high school,35k-50k,NHOPI,0.0,1,0
80+,Male,Did not graduate high school,200k+,NH-Black,0.0,1,0
40-44,Male,Did not graduate high school,200k+,AIAN,0.0,1,0
75-79,Male,Graduated high school,200k+,AIAN,0.0,1,0
75-79,Male,Graduated high school,200k+,Hispanic,0.0,1,0
55-59,Male,Did not graduate high school,100k-200k,Asian,1.0,1,0
70-74,Male,Did not graduate high school,200k+,Other/Multiracial,1.0,1,0
50-54,Male,Did not graduate high school,100k-200k,NHOPI,0.0,1,0
65-69,Female,Attended college or technical school,200k+,NHOPI,1.0,1,0
60-64,Female,Did not graduate high school,100k-200k,Other/Multiracial,0.0,1,0
35-39,Male,Did not graduate high school,100k-200k,AIAN,0.0,1,0
45-49,Male,Graduated college or technical school,<15k,NHOPI,0.0,1,0
70-74,Male,Attended college or technical school,200k+,NHOPI,1.0,1,0
65-69,Male,Did not graduate high school,200k+,NHOPI,1.0,1,0
25-29,Male,Did not graduate high school,200k+,NH-Black,1.0,1,0
18-24,Male,Did not graduate high school,200k+,Asian,0.0,1,0
55-59,Male,Did not graduate high school,200k+,NHOPI,0.0,1,0
60-64,Female,Did not graduate high school,200k+,Hispanic,0.0,1,0
75-79,Female,Did not graduate high school,200k+,Other/Multiracial,1.0,1,0
60-64,Female,Did not graduate high school,200k+,Asian,0.0,1,0
35-39,Female,Did not graduate high school,200k+,NH-Black,1.0,1,0
70-74,Male,Did not graduate high school,100k-200k,AIAN,0.0,1,0
80+,Male,Attended college or technical school,200k+,Asian,1.0,1,0
25-29,Male,Did not graduate high school,100k-200k,AIAN,0.0,1,0
80+,Male,Attended college or technical school,15k-25k,NHOPI,0.0,1,0
40-44,Female,Did not graduate high school,35k-50k,NHOPI,0.0,1,0
25-29,Male,Attended college or technical school,<15k,NHOPI,0.0,1,0
50-54,Female,Did not graduate high school,100k-200k,Asian,0.0,1,0
60-64,Female,Did not graduate high school,200k+,AIAN,1.0,1,0
75-79,Female,Did not graduate high school,200k+,Hispanic,0.0,1,0
55-59,Male,Did not graduate high school,200k+,Asian,0.0,1,0
75-79,Female,Did not graduate high school,200k+,AIAN,0.0,1,0
25-29,Female,Did not graduate high school,200k+,Hispanic,0.0,1,0
80+,Female,Graduated college or technical school,200k+,AIAN,0.0,1,0
25-29,Female,Did not graduate high school,200k+,Other/Multiracial,1.0,1,0
35-39,Male,Did not graduate high school,35k-50k,NHOPI,0.0,1,0
25-29,Female,Did not graduate high school,25k-35k,AIAN,0.0,1,0
50-54,Female,Did not graduate high school,25k-35k,NHOPI,1.0,1,0
