age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed
50-54,Male,Graduated college or technical school,50k-100k,NH-White,0.3929645948125398,3733,1,0.3925387880422284
40-44,Male,Graduated college or technical school,50k-100k,NH-White,0.3442723943065221,3725,1,0.3442346992701703
55-59,Male,Attended college or technical school,50k-100k,NH-White,0.4632640662471747,3696,1,0.462268012833401
65-69,Female,Graduated high school,50k-100k,NH-White,0.3866365806813502,3667,1,0.38625452213313655
50-54,Female,Attended college or technical school,50k-100k,NH-White,0.4649101627835802,3651,1,0.46388851705801304
55-59,Male,Graduated high school,50k-100k,NH-White,0.4597119743279432,3644,1,0.45873082782218827
70-74,Female,Attended college or technical school,35k-50k,NH-White,0.3642721070974517,3551,1,0.3640650319102892
18-24,Male,Graduated high school,50k-100k,NH-White,0.1797443529763408,3487,1,0.18110753079220784
80+,Female,Attended college or technical school,25k-35k,NH-White,0.1753980720371197,3470,1,0.17680512483900002
25-29,Male,Graduated college or technical school,100k-200k,NH-White,0.1924119119042092,3459,1,0.19367710812391922
80+,Female,Graduated high school,35k-50k,NH-White,0.1998655853786915,3447,1,0.20107083686167504
45-49,Female,Graduated college or technical school,200k+,NH-White,0.1889894253596593,3444,1,0.19028963958156625
40-44,Female,Graduated college or technical school,200k+,NH-White,0.1767968979834247,3426,1,0.17820972206565613
75-79,Female,Graduated college or technical school,100k-200k,NH-White,0.1836125685324463,3402,1,0.1849756949636005
65-69,Female,Attended college or technical school,35k-50k,NH-White,0.3705609894681462,3387,1,0.3702887615733994
80+,Male,Attended college or technical school,50k-100k,NH-White,0.244056748398097,3382,1,0.24489640974503477
55-59,Female,Graduated college or technical school,200k+,NH-White,0.1980508301660305,3342,1,0.1993097572308922
35-39,Male,Graduated college or technical school,200k+,NH-White,0.2168158785850339,3339,1,0.21790882919653393
55-59,Male,Attended college or technical school,100k-200k,NH-White,0.4551392753646167,3329,1,0.45410695881408264
80+,Female,Attended college or technical school,50k-100k,NH-White,0.1764952036499542,3328,1,0.17795195494780885
70-74,Male,Graduated high school,50k-100k,NH-White,0.367780427643203,3302,1,0.36752629022975714
45-49,Male,Graduated college or technical school,50k-100k,NH-White,0.3978749620217006,3298,1,0.397349234289442
80+,Female,Attended college or technical school,35k-50k,NH-White,0.1927066369531773,3286,1,0.19403517370200093
80+,Female,Graduated college or technical school,35k-50k,NH-White,0.1970522402415963,3285,1,0.19834185102906135
60-64,Male,Attended college or technical school,100k-200k,NH-White,0.436785617336241,3284,1,0.43590542978271274
65-69,Female,Graduated college or technical school,35k-50k,NH-White,0.3472645054178518,3268,1,0.34719436951887034
50-54,Male,Attended college or technical school,50k-100k,NH-White,0.4528297222374924,3236,1,0.45178922477900185
50-54,Male,Attended college or technical school,100k-200k,NH-White,0.5109739376647274,3233,1,0.5093979060489605
35-39,Male,Attended college or technical school,50k-100k,NH-White,0.4045053453003551,3117,1,0.403886173584017
65-69,Male,Graduated college or technical school,200k+,NH-White,0.267088301502754,3109,1,0.2677808717234013
40-44,Male,Attended college or technical school,50k-100k,NH-White,0.4239566646523512,3052,1,0.4231350965239035
70-74,Female,Graduated high school,50k-100k,NH-White,0.3329911730495977,3015,1,0.33305583373143893
70-74,Male,Graduated college or technical school,35k-50k,NH-White,0.3099475308207891,3006,1,0.31024008715908646
70-74,Female,Attended college or technical school,25k-35k,NH-White,0.3923166644058763,2978,1,0.3917904433405566
70-74,Male,Attended college or technical school,35k-50k,NH-White,0.3812428465956658,2974,1,0.38082651556032115
30-34,Male,Attended college or technical school,50k-100k,NH-White,0.3585213022476499,2966,1,0.3583313783158292
45-49,Male,Attended college or technical school,100k-200k,NH-White,0.4816131711597832,2950,1,0.48018304761377684
25-29,Female,Graduated college or technical school,100k-200k,NH-White,0.2001912208764888,2943,1,0.20159750757053518
75-79,Female,Graduated college or technical school,35k-50k,NH-White,0.288007578623615,2943,1,0.28852772649074787
55-59,Female,Attended college or technical school,100k-200k,NH-White,0.3940411103121103,2930,1,0.3934888784399249
75-79,Female,Attended college or technical school,35k-50k,NH-White,0.3118734856765477,2909,1,0.31215603838066414
45-49,Female,Attended college or technical school,50k-100k,NH-White,0.4658831098934292,2907,1,0.46459272299213256
60-64,Female,Attended college or technical school,100k-200k,NH-White,0.3323586928148119,2893,1,0.33243254371568437
50-54,Male,Graduated high school,50k-100k,NH-White,0.4459327047597886,2825,1,0.4448148924392635
80+,Male,Graduated college or technical school,35k-50k,NH-White,0.1995364482596135,2815,1,0.20101290995378085
55-59,Female,Graduated high school,50k-100k,NH-White,0.4104523367758014,2804,1,0.40970182755364914
35-39,Female,Attended college or technical school,50k-100k,NH-White,0.4168270100763444,2794,1,0.4160061236264167
40-44,Female,Attended college or technical school,50k-100k,NH-White,0.4515989130612883,2792,1,0.45040779313777873
65-69,Male,Graduated high school,35k-50k,NH-White,0.4000879730620425,2784,1,0.3994426240129427
70-74,Female,Graduated high school,25k-35k,NH-White,0.3871580131648685,2773,1,0.38664851854223153
40-44,Male,Attended college or technical school,100k-200k,NH-White,0.4253926038722084,2748,1,0.424465623617179
65-69,Female,Attended college or technical school,25k-35k,NH-White,0.376339807132428,2740,1,0.37594140740452964
45-49,Male,Attended college or technical school,50k-100k,NH-White,0.4469712842481125,2736,1,0.44580624030026406
50-54,Female,Attended college or technical school,100k-200k,NH-White,0.3774138447605236,2735,1,0.37700307138796624
75-79,Female,Graduated high school,25k-35k,NH-White,0.3497496473648659,2732,1,0.3496389078814295
35-39,Female,Graduated college or technical school,200k+,NH-White,0.1499267855093514,2714,1,0.15199997188049352
70-74,Female,Graduated high school,35k-50k,NH-White,0.3906439292671591,2701,1,0.39008270960025315
80+,Female,Attended college or technical school,15k-25k,NH-White,0.2393458736896088,2671,1,0.24045888766850781
60-64,Female,Graduated college or technical school,200k+,NH-White,0.1746957036590577,2656,1,0.17653701261584206
65-69,Male,Graduated high school,25k-35k,NH-White,0.3964626255124374,2644,1,0.39582416186334296
65-69,Female,Graduated high school,25k-35k,NH-White,0.412289479942165,2626,1,0.41146792217463096
