age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
55-59,Male,Graduated high school,50k-100k,NH-White,0.4597119743279432,3644,1
70-74,Female,Attended college or technical school,35k-50k,NH-White,0.3642721070974517,3551,1
18-24,Male,Graduated high school,50k-100k,NH-White,0.1797443529763408,3487,1
80+,Female,Attended college or technical school,25k-35k,NH-White,0.1753980720371197,3470,1
25-29,Male,Graduated college or technical school,100k-200k,NH-White,0.1924119119042092,3459,1
80+,Female,Graduated high school,35k-50k,NH-White,0.1998655853786915,3447,1
45-49,Female,Graduated college or technical school,200k+,NH-White,0.1889894253596593,3444,1
40-44,Female,Graduated college or technical school,200k+,NH-White,0.1767968979834247,3426,1
75-79,Female,Graduated college or technical school,100k-200k,NH-White,0.1836125685324463,3402,1
65-69,Female,Attended college or technical school,35k-50k,NH-White,0.3705609894681462,3387,1
80+,Male,Attended college or technical school,50k-100k,NH-White,0.244056748398097,3382,1
55-59,Female,Graduated college or technical school,200k+,NH-White,0.1980508301660305,3342,1
35-39,Male,Graduated college or technical school,200k+,NH-White,0.2168158785850339,3339,1
55-59,Male,Attended college or technical school,100k-200k,NH-White,0.4551392753646167,3329,1
80+,Female,Attended college or technical school,50k-100k,NH-White,0.1764952036499542,3328,1
70-74,Male,Graduated high school,50k-100k,NH-White,0.367780427643203,3302,1
45-49,Male,Graduated college or technical school,50k-100k,NH-White,0.3978749620217006,3298,1
80+,Female,Attended college or technical school,35k-50k,NH-White,0.1927066369531773,3286,1
80+,Female,Graduated college or technical school,35k-50k,NH-White,0.1970522402415963,3285,1
60-64,Male,Attended college or technical school,100k-200k,NH-White,0.436785617336241,3284,1
65-69,Female,Graduated college or technical school,35k-50k,NH-White,0.3472645054178518,3268,1
50-54,Male,Attended college or technical school,50k-100k,NH-White,0.4528297222374924,3236,1
50-54,Male,Attended college or technical school,100k-200k,NH-White,0.5109739376647274,3233,1
35-39,Male,Attended college or technical school,50k-100k,NH-White,0.4045053453003551,3117,1
65-69,Male,Graduated college or technical school,200k+,NH-White,0.267088301502754,3109,1
40-44,Male,Attended college or technical school,50k-100k,NH-White,0.4239566646523512,3052,1
70-74,Female,Graduated high school,50k-100k,NH-White,0.3329911730495977,3015,1
70-74,Male,Graduated college or technical school,35k-50k,NH-White,0.3099475308207891,3006,1
70-74,Female,Attended college or technical school,25k-35k,NH-White,0.3923166644058763,2978,1
70-74,Male,Attended college or technical school,35k-50k,NH-White,0.3812428465956658,2974,1
30-34,Male,Attended college or technical school,50k-100k,NH-White,0.3585213022476499,2966,1
45-49,Male,Attended college or technical school,100k-200k,NH-White,0.4816131711597832,2950,1
25-29,Female,Graduated college or technical school,100k-200k,NH-White,0.2001912208764888,2943,1
75-79,Female,Graduated college or technical school,35k-50k,NH-White,0.288007578623615,2943,1
55-59,Female,Attended college or technical school,100k-200k,NH-White,0.3940411103121103,2930,1
75-79,Female,Attended college or technical school,35k-50k,NH-White,0.3118734856765477,2909,1
45-49,Female,Attended college or technical school,50k-100k,NH-White,0.4658831098934292,2907,1
60-64,Female,Attended college or technical school,100k-200k,NH-White,0.3323586928148119,2893,1
50-54,Male,Graduated high school,50k-100k,NH-White,0.4459327047597886,2825,1
80+,Male,Graduated college or technical school,35k-50k,NH-White,0.1995364482596135,2815,1
55-59,Female,Graduated high school,50k-100k,NH-White,0.4104523367758014,2804,1
35-39,Female,Attended college or technical school,50k-100k,NH-White,0.4168270100763444,2794,1
