age,sex,race,education,income,weight,year,prop
18-24,Female,AIAN,Attended college or technical school,100k-200k,49,2022,1.8999328699433254e-07
18-24,Female,AIAN,Attended college or technical school,15k-25k,4689,2022,1.8181194341151534e-05
18-24,Female,AIAN,Attended college or technical school,200k+,26,2022,1.0081276452760501e-07
18-24,Female,AIAN,Attended college or technical school,25k-35k,2497,2022,9.681902808670375e-06
18-24,Female,AIAN,Attended college or technical school,35k-50k,972,2022,3.7688464277243104e-06
18-24,Female,AIAN,Attended college or technical school,50k-100k,549,2022,2.1287002971405827e-06
18-24,Female,AIAN,Attended college or technical school,<15k,20642,2022,8.00375802068778e-05
18-24,Female,AIAN,Did not graduate high school,15k-25k,1058,2022,4.102304033469466e-06
18-24,Female,AIAN,Did not graduate high school,25k-35k,282,2022,1.093430753722485e-06
18-24,Female,AIAN,Did not graduate high school,35k-50k,114,2022,4.4202519831334506e-07
18-24,Female,AIAN,Did not graduate high school,50k-100k,86,2022,3.3345760574515507e-07
18-24,Female,AIAN,Did not graduate high school,<15k,12486,2022,4.841339145737216e-05
18-24,Female,AIAN,Graduated college or technical school,100k-200k,48,2022,1.8611587297404001e-07
18-24,Female,AIAN,Graduated college or technical school,15k-25k,780,2022,3.0243829358281503e-06
18-24,Female,AIAN,Graduated college or technical school,25k-35k,634,2022,2.4582804888654455e-06
18-24,Female,AIAN,Graduated college or technical school,35k-50k,640,2022,2.4815449729872003e-06
18-24,Female,AIAN,Graduated college or technical school,50k-100k,390,2022,1.5121914679140751e-06
18-24,Female,AIAN,Graduated college or technical school,<15k,1964,2022,7.615241135854471e-06
18-24,Female,AIAN,Graduated high school,100k-200k,86,2022,3.3345760574515507e-07
18-24,Female,AIAN,Graduated high school,15k-25k,4543,2022,1.761509189418883e-05
18-24,Female,AIAN,Graduated high school,200k+,74,2022,2.8692863750164507e-07
18-24,Female,AIAN,Graduated high school,25k-35k,2764,2022,1.0717172352088472e-05
18-24,Female,AIAN,Graduated high school,35k-50k,1045,2022,4.051897651205663e-06
18-24,Female,AIAN,Graduated high school,50k-100k,291,2022,1.1283274799051177e-06
18-24,Female,AIAN,Graduated high school,<15k,20800,2022,8.065021162208401e-05
18-24,Female,Asian,Attended college or technical school,100k-200k,679,2022,2.632764119778608e-06
18-24,Female,Asian,Attended college or technical school,15k-25k,87609,2022,0.0003396963649038057
18-24,Female,Asian,Attended college or technical school,200k+,673,2022,2.6094996356568527e-06
18-24,Female,Asian,Attended college or technical school,25k-35k,47004,2022,0.0001822539686098287
18-24,Female,Asian,Attended college or technical school,35k-50k,22581,2022,8.755588599222495e-05
18-24,Female,Asian,Attended college or technical school,50k-100k,10251,2022,3.974737112201842e-05
18-24,Female,Asian,Attended college or technical school,<15k,544654,2022,0.0021118490558083916
18-24,Female,Asian,Did not graduate high school,100k-200k,152,2022,5.893669310844601e-07
18-24,Female,Asian,Did not graduate high school,15k-25k,10197,2022,3.953799076492263e-05
18-24,Female,Asian,Did not graduate high school,200k+,142,2022,5.505927908815351e-07
18-24,Female,Asian,Did not graduate high school,25k-35k,4972,2022,1.9278502508894312e-05
18-24,Female,Asian,Did not graduate high school,35k-50k,2598,2022,1.0073521624719916e-05
18-24,Female,Asian,Did not graduate high school,50k-100k,1515,2022,5.874282240743138e-06
18-24,Female,Asian,Did not graduate high school,<15k,113168,2022,0.0004387991898484617
18-24,Female,Asian,Graduated college or technical school,100k-200k,7536,2022,2.9220192056924283e-05
18-24,Female,Asian,Graduated college or technical school,15k-25k,46987,2022,0.00018218805257148372
18-24,Female,Asian,Graduated college or technical school,200k+,593,2022,2.299306514033453e-06
18-24,Female,Asian,Graduated college or technical school,25k-35k,34564,2022,0.00013401893819739
18-24,Female,Asian,Graduated college or technical school,35k-50k,34670,2022,0.00013442994408354098
