age,sex,race,education,income,weight,year,prop
18-24,Female,AIAN,Attended college or technical school,100k-200k,23,2024,8.798382688944886e-08
18-24,Female,AIAN,Attended college or technical school,15k-25k,3955,2024,1.5129392841207401e-05
18-24,Female,AIAN,Attended college or technical school,200k+,1,2024,3.825383777802125e-09
18-24,Female,AIAN,Attended college or technical school,25k-35k,2476,2024,9.471650233838059e-06
18-24,Female,AIAN,Attended college or technical school,35k-50k,1548,2024,5.921694088037688e-06
18-24,Female,AIAN,Attended college or technical school,50k-100k,600,2024,2.2952302666812745e-06
18-24,Female,AIAN,Attended college or technical school,<15k,17194,2024,6.577364867552972e-05
18-24,Female,AIAN,Did not graduate high school,100k-200k,2,2024,7.65076755560425e-09
18-24,Female,AIAN,Did not graduate high school,15k-25k,905,2024,3.4619723189109223e-06
18-24,Female,AIAN,Did not graduate high school,200k+,7,2024,2.677768644461487e-08
18-24,Female,AIAN,Did not graduate high school,25k-35k,390,2024,1.4918996733428284e-06
18-24,Female,AIAN,Did not graduate high school,35k-50k,252,2024,9.639967120061352e-07
18-24,Female,AIAN,Did not graduate high school,50k-100k,102,2024,3.901891453358167e-07
18-24,Female,AIAN,Did not graduate high school,<15k,10343,2024,3.956594441380737e-05
18-24,Female,AIAN,Graduated college or technical school,100k-200k,16,2024,6.1206140444834e-08
18-24,Female,AIAN,Graduated college or technical school,15k-25k,668,2024,2.555356363571819e-06
18-24,Female,AIAN,Graduated college or technical school,25k-35k,593,2024,2.2684525802366596e-06
18-24,Female,AIAN,Graduated college or technical school,35k-50k,805,2024,3.07943394113071e-06
18-24,Female,AIAN,Graduated college or technical school,50k-100k,348,2024,1.3312335546751393e-06
18-24,Female,AIAN,Graduated college or technical school,<15k,2110,2024,8.071559771162482e-06
18-24,Female,AIAN,Graduated high school,100k-200k,32,2024,1.22412280889668e-07
18-24,Female,AIAN,Graduated high school,15k-25k,4349,2024,1.663659404966144e-05
18-24,Female,AIAN,Graduated high school,200k+,25,2024,9.56345944450531e-08
18-24,Female,AIAN,Graduated high school,25k-35k,3197,2024,1.222975193763339e-05
18-24,Female,AIAN,Graduated high school,35k-50k,2234,2024,8.545907359609945e-06
18-24,Female,AIAN,Graduated high school,50k-100k,349,2024,1.3350589384529414e-06
18-24,Female,AIAN,Graduated high school,<15k,18760,2024,7.176419967156785e-05
18-24,Female,Asian,Attended college or technical school,100k-200k,769,2024,2.9417201251298334e-06
18-24,Female,Asian,Attended college or technical school,15k-25k,92005,2024,0.0003519544344766844
18-24,Female,Asian,Attended college or technical school,200k+,564,2024,2.157516450680398e-06
18-24,Female,Asian,Attended college or technical school,25k-35k,51899,2024,0.00019853359268415244
18-24,Female,Asian,Attended college or technical school,35k-50k,28938,2024,0.00011069895576203788
18-24,Female,Asian,Attended college or technical school,50k-100k,13469,2024,5.152409410321681e-05
18-24,Female,Asian,Attended college or technical school,<15k,537821,2024,0.002057371728761316
18-24,Female,Asian,Did not graduate high school,100k-200k,231,2024,8.836636526722907e-07
18-24,Female,Asian,Did not graduate high school,15k-25k,11727,2024,4.486027556228551e-05
18-24,Female,Asian,Did not graduate high school,200k+,78,2024,2.983799346685657e-07
18-24,Female,Asian,Did not graduate high school,25k-35k,5996,2024,2.2937001131701538e-05
18-24,Female,Asian,Did not graduate high school,35k-50k,3471,2024,1.3277907092751173e-05
18-24,Female,Asian,Did not graduate high school,50k-100k,2042,2024,7.811433674271938e-06
18-24,Female,Asian,Did not graduate high school,<15k,119529,2024,0.0004572442975769101
18-24,Female,Asian,Graduated college or technical school,100k-200k,11136,2024,4.259947374960446e-05
18-24,Female,Asian,Graduated college or technical school,15k-25k,49560,2024,0.00018958602002787326
18-24,Female,Asian,Graduated college or technical school,200k+,991,2024,3.790955323801905e-06
18-24,Female,Asian,Graduated college or technical school,25k-35k,37715,2024,0.00014427434917980712
18-24,Female,Asian,Graduated college or technical school,35k-50k,41448,2024,0.00015855450682234244
18-24,Female,Asian,Graduated college or technical school,50k-100k,58279,2024,0.00022293954118652999
18-24,Female,Asian,Graduated college or technical school,<15k,177479,2024,0.0006789252875005432
18-24,Female,Asian,Graduated high school,100k-200k,925,2024,3.5384799944669648e-06
18-24,Female,Asian,Graduated high school,15k-25k,61501,2024,0.00023526492771860845
18-24,Female,Asian,Graduated high school,200k+,618,2024,2.3640871746817127e-06
18-24,Female,Asian,Graduated high school,25k-35k,40462,2024,0.00015478267841742956
18-24,Female,Asian,Graduated high school,35k-50k,23312,2024,8.917734662812313e-05
18-24,Female,Asian,Graduated high school,50k-100k,10419,2024,3.9856673580920335e-05
18-24,Female,Asian,Graduated high school,<15k,352327,2024,0.0013477859902816891
18-24,Female,Hispanic,Attended college or technical school,100k-200k,1620,2024,6.197121720039442e-06
18-24,Female,Hispanic,Attended college or technical school,15k-25k,245475,2024,0.0009390360828559764
18-24,Female,Hispanic,Attended college or technical school,200k+,794,2024,3.0373547195748864e-06
18-24,Female,Hispanic,Attended college or technical school,25k-35k,162325,2024,0.0006209554217317298
18-24,Female,Hispanic,Attended college or technical school,35k-50k,88757,2024,0.00033952958796638314
18-24,Female,Hispanic,Attended college or technical school,50k-100k,32164,2024,0.00012303964382922753
18-24,Female,Hispanic,Attended college or technical school,<15k,957130,2024,0.003661389575247747
18-24,Female,Hispanic,Did not graduate high school,100k-200k,534,2024,2.0427549373463345e-06
18-24,Female,Hispanic,Did not graduate high school,15k-25k,49747,2024,0.00019030136679432227
18-24,Female,Hispanic,Did not graduate high school,200k+,374,2024,1.4306935328979944e-06
18-24,Female,Hispanic,Did not graduate high school,25k-35k,29741,2024,0.00011377073893561298
18-24,Female,Hispanic,Did not graduate high school,35k-50k,14103,2024,5.394938741834336e-05
18-24,Female,Hispanic,Did not graduate high school,50k-100k,7598,2024,2.906526594374054e-05
18-24,Female,Hispanic,Did not graduate high school,<15k,357807,2024,0.0013687490933840447
18-24,Female,Hispanic,Graduated college or technical school,100k-200k,2238,2024,8.561208894721153e-06
18-24,Female,Hispanic,Graduated college or technical school,15k-25k,58121,2024,0.00022233513054963725
18-24,Female,Hispanic,Graduated college or technical school,200k+,336,2024,1.2853289493415138e-06
18-24,Female,Hispanic,Graduated college or technical school,25k-35k,46039,2024,0.00017611684374623199
18-24,Female,Hispanic,Graduated college or technical school,35k-50k,49673,2024,0.0001900182883947649
18-24,Female,Hispanic,Graduated college or technical school,50k-100k,46380,2024,0.00017742129961446253
18-24,Female,Hispanic,Graduated college or technical school,<15k,152717,2024,0.000584201134394607
18-24,Female,Hispanic,Graduated high school,100k-200k,1698,2024,6.495501654708007e-06
18-24,Female,Hispanic,Graduated high school,15k-25k,224351,2024,0.0008582286759336844
18-24,Female,Hispanic,Graduated high school,200k+,665,2024,2.543880212238413e-06
18-24,Female,Hispanic,Graduated high school,25k-35k,154334,2024,0.000590386779963313
18-24,Female,Hispanic,Graduated high school,35k-50k,82869,2024,0.00031700572828268425
18-24,Female,Hispanic,Graduated high school,50k-100k,27253,2024,0.00010425318409644129
18-24,Female,Hispanic,Graduated high school,<15k,811640,2024,0.003104834489415316
18-24,Female,NH-Black,Attended college or technical school,100k-200k,670,2024,2.5630071311274234e-06
18-24,Female,NH-Black,Attended college or technical school,15k-25k,124693,2024,0.00047699857940548026
18-24,Female,NH-Black,Attended college or technical school,200k+,766,2024,2.930243973796427e-06
18-24,Female,NH-Black,Attended college or technical school,25k-35k,79512,2024,0.0003041639149406025
18-24,Female,NH-Black,Attended college or technical school,35k-50k,44942,2024,0.00017192039774198306
18-24,Female,NH-Black,Attended college or technical school,50k-100k,16365,2024,6.260240552373176e-05
18-24,Female,NH-Black,Attended college or technical school,<15k,581095,2024,0.0022229113863619252
18-24,Female,NH-Black,Did not graduate high school,100k-200k,63,2024,2.409991780015338e-07
18-24,Female,NH-Black,Did not graduate high school,15k-25k,18671,2024,7.142374051534346e-05
18-24,Female,NH-Black,Did not graduate high school,200k+,146,2024,5.585060315591101e-07
18-24,Female,NH-Black,Did not graduate high school,25k-35k,8085,2024,3.0928227843530175e-05
18-24,Female,NH-Black,Did not graduate high school,35k-50k,5154,2024,1.9716027990792148e-05
18-24,Female,NH-Black,Did not graduate high school,50k-100k,2788,2024,1.0665169972512323e-05
18-24,Female,NH-Black,Did not graduate high school,<15k,179108,2024,0.0006851568376745828
18-24,Female,NH-Black,Graduated college or technical school,100k-200k,1783,2024,6.820659275821188e-06
18-24,Female,NH-Black,Graduated college or technical school,15k-25k,34776,2024,0.00013303154625684668
18-24,Female,NH-Black,Graduated college or technical school,200k+,225,2024,8.607113500054779e-07
18-24,Female,NH-Black,Graduated college or technical school,25k-35k,27998,2024,0.00010710309501090387
18-24,Female,NH-Black,Graduated college or technical school,35k-50k,30506,2024,0.0001166971575256316
18-24,Female,NH-Black,Graduated college or technical school,50k-100k,24573,2024,9.40011555719316e-05
18-24,Female,NH-Black,Graduated college or technical school,<15k,88669,2024,0.0003391929541939366
18-24,Female,NH-Black,Graduated high school,100k-200k,868,2024,3.320433119132244e-06
18-24,Female,NH-Black,Graduated high school,15k-25k,112294,2024,0.00042956764594451175
