age,sex,race,education,income,weight,year,prop
18-24,Female,AIAN,Attended college or technical school,100k-200k,55,2021,2.1525381440228283e-07
18-24,Female,AIAN,Attended college or technical school,15k-25k,5224,2021,2.0445198662500463e-05
18-24,Female,AIAN,Attended college or technical school,200k+,30,2021,1.1741117149215427e-07
18-24,Female,AIAN,Attended college or technical school,25k-35k,2426,2021,9.494650067998876e-06
18-24,Female,AIAN,Attended college or technical school,35k-50k,805,2021,3.15053310170614e-06
18-24,Female,AIAN,Attended college or technical school,50k-100k,571,2021,2.2347259640673363e-06
18-24,Female,AIAN,Attended college or technical school,<15k,23523,2021,9.206209956699816e-05
18-24,Female,AIAN,Did not graduate high school,15k-25k,1105,2021,4.324644816627683e-06
18-24,Female,AIAN,Did not graduate high school,200k+,24,2021,9.392893719372341e-08
18-24,Female,AIAN,Did not graduate high school,25k-35k,259,2021,1.0136497805489318e-06
18-24,Female,AIAN,Did not graduate high school,35k-50k,36,2021,1.4089340579058514e-07
18-24,Female,AIAN,Did not graduate high school,50k-100k,67,2021,2.6221828299914454e-07
18-24,Female,AIAN,Did not graduate high school,<15k,12991,2021,5.0842950961819204e-05
18-24,Female,AIAN,Graduated college or technical school,15k-25k,733,2021,2.8687462901249693e-06
18-24,Female,AIAN,Graduated college or technical school,200k+,78,2021,3.052690458796011e-07
18-24,Female,AIAN,Graduated college or technical school,25k-35k,656,2021,2.5673909499617736e-06
18-24,Female,AIAN,Graduated college or technical school,35k-50k,681,2021,2.665233592871902e-06
18-24,Female,AIAN,Graduated college or technical school,50k-100k,310,2021,1.2132487720855941e-06
18-24,Female,AIAN,Graduated college or technical school,<15k,1868,2021,7.3108022782448065e-06
18-24,Female,AIAN,Graduated high school,100k-200k,91,2021,3.5614722019286797e-07
18-24,Female,AIAN,Graduated high school,15k-25k,4643,2021,1.8171335641269077e-05
18-24,Female,AIAN,Graduated high school,200k+,49,2021,1.9177158010385197e-07
18-24,Female,AIAN,Graduated high school,25k-35k,2567,2021,1.0046482574012e-05
18-24,Female,AIAN,Graduated high school,35k-50k,706,2021,2.7630762357820305e-06
18-24,Female,AIAN,Graduated high school,50k-100k,192,2021,7.514314975497873e-07
18-24,Female,AIAN,Graduated high school,<15k,21923,2021,8.580017042074994e-05
18-24,Female,Asian,Attended college or technical school,100k-200k,535,2021,2.0938325582767514e-06
18-24,Female,Asian,Attended college or technical school,15k-25k,82236,2021,0.0003218475032942933
18-24,Female,Asian,Attended college or technical school,200k+,565,2021,2.2112437297689054e-06
18-24,Female,Asian,Attended college or technical school,25k-35k,42896,2021,0.00016788232041091498
18-24,Female,Asian,Attended college or technical school,35k-50k,19113,2021,7.480265735765149e-05
18-24,Female,Asian,Attended college or technical school,50k-100k,8589,2021,3.3614818398203766e-05
18-24,Female,Asian,Attended college or technical school,<15k,536308,2021,0.0020989516853538092
18-24,Female,Asian,Did not graduate high school,100k-200k,98,2021,3.8354316020770395e-07
18-24,Female,Asian,Did not graduate high school,15k-25k,8984,2021,3.51607321561838e-05
18-24,Female,Asian,Did not graduate high school,200k+,170,2021,6.653299717888742e-07
