GEO_ID,NAME,education,population,prop,year
0500000US02020,"Anchorage Municipality, Alaska",<HS,11555.0,0.06007434557695807,2020
0500000US02050,"Bethel Census Area, Alaska",<HS,1628.0,0.16543034244487348,2020
0500000US02060,"Bristol Bay Borough, Alaska",<HS,35.0,0.062388591800356503,2020
0500000US02063,"Chugach Census Area, Alaska",<HS,204.0,0.04353393085787452,2020
0500000US02066,"Copper River Census Area, Alaska",<HS,86.0,0.045744680851063826,2020
0500000US02068,"Denali Borough, Alaska",<HS,42.0,0.022508038585209004,2020
0500000US02070,"Dillingham Census Area, Alaska",<HS,391.0,0.13473466574776016,2020
0500000US02090,"Fairbanks North Star Borough, Alaska",<HS,3425.0,0.0554889508132979,2020
0500000US02100,"Haines Borough, Alaska",<HS,34.0,0.020444978953698137,2020
0500000US02105,"Hoonah-Angoon Census Area, Alaska",<HS,105.0,0.060206422018348624,2020
0500000US02110,"Juneau City and Borough, Alaska",<HS,851.0,0.03764320785597381,2020
0500000US02122,"Kenai Peninsula Borough, Alaska",<HS,2887.0,0.07013069037555264,2020
0500000US02130,"Ketchikan Gateway Borough, Alaska",<HS,593.0,0.06119711042311662,2020
0500000US02150,"Kodiak Island Borough, Alaska",<HS,929.0,0.10435857110761626,2020
0500000US02158,"Kusilvak Census Area, Alaska",<HS,867.0,0.21428571428571427,2020
0500000US02164,"Lake and Peninsula Borough, Alaska",<HS,85.0,0.11838440111420613,2020
0500000US02170,"Matanuska-Susitna Borough, Alaska",<HS,4499.0,0.06440944881889764,2020
0500000US02180,"Nome Census Area, Alaska",<HS,773.0,0.13990950226244345,2020
0500000US02185,"North Slope Borough, Alaska",<HS,698.0,0.11281719734928075,2020
0500000US02188,"Northwest Arctic Borough, Alaska",<HS,658.0,0.15478710891554928,2020
0500000US02195,"Petersburg Borough, Alaska",<HS,268.0,0.10793395086588804,2020
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",<HS,389.0,0.08725886047554958,2020
0500000US02220,"Sitka City and Borough, Alaska",<HS,291.0,0.04754125142950498,2020
0500000US02230,"Skagway Municipality, Alaska",<HS,121.0,0.11512844909609896,2020
0500000US02240,"Southeast Fairbanks Census Area, Alaska",<HS,411.0,0.0891153512575889,2020
0500000US02275,"Wrangell City and Borough, Alaska",<HS,220.0,0.11720831113478956,2020
0500000US02282,"Yakutat City and Borough, Alaska",<HS,24.0,0.056074766355140186,2020
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",<HS,408.0,0.12007062978222484,2020
0500000US04001,"Apache County, Arizona",<HS,8459.0,0.18547591378516456,2020
0500000US04003,"Cochise County, Arizona",<HS,10009.0,0.11326113770354528,2020
0500000US04005,"Coconino County, Arizona",<HS,7597.0,0.0901036601276182,2020
0500000US04007,"Gila County, Arizona",<HS,5063.0,0.1274031202818319,2020
0500000US04009,"Graham County, Arizona",<HS,3542.0,0.14716024762142174,2020
0500000US04011,"Greenlee County, Arizona",<HS,849.0,0.14840062926061878,2020
0500000US04012,"La Paz County, Arizona",<HS,3245.0,0.19548192771084338,2020
0500000US04013,"Maricopa County, Arizona",<HS,342904.0,0.11614533408752968,2020
0500000US04015,"Mohave County, Arizona",<HS,22045.0,0.13588983338161958,2020
0500000US04017,"Navajo County, Arizona",<HS,11620.0,0.16157290247226008,2020
0500000US04019,"Pima County, Arizona",<HS,76781.0,0.10972836937306445,2020
0500000US04021,"Pinal County, Arizona",<HS,40308.0,0.1294349983141467,2020
0500000US04023,"Santa Cruz County, Arizona",<HS,6569.0,0.22140955205770332,2020
0500000US04025,"Yavapai County, Arizona",<HS,14648.0,0.08158218647834296,2020
0500000US04027,"Yuma County, Arizona",<HS,34280.0,0.2543989194725007,2020
0500000US05001,"Arkansas County, Arkansas",<HS,1731.0,0.14004854368932038,2020
0500000US05003,"Ashley County, Arkansas",<HS,2019.0,0.14840132304299888,2020
0500000US05005,"Baxter County, Arkansas",<HS,3597.0,0.11224489795918367,2020
0500000US05007,"Benton County, Arkansas",<HS,18709.0,0.10427197993590637,2020
0500000US05009,"Boone County, Arkansas",<HS,3091.0,0.11760900996879994,2020
0500000US05011,"Bradley County, Arkansas",<HS,1254.0,0.16671098112204202,2020
0500000US05013,"Calhoun County, Arkansas",<HS,605.0,0.16034985422740525,2020
0500000US05015,"Carroll County, Arkansas",<HS,2717.0,0.13681454252479983,2020
0500000US05017,"Chicot County, Arkansas",<HS,1589.0,0.2180894866867966,2020
0500000US05019,"Clark County, Arkansas",<HS,1442.0,0.11063372717508056,2020
0500000US05021,"Clay County, Arkansas",<HS,1722.0,0.16459567960237048,2020
0500000US05023,"Cleburne County, Arkansas",<HS,2516.0,0.13429410194822525,2020
0500000US05025,"Cleveland County, Arkansas",<HS,601.0,0.10464913808114226,2020
0500000US05027,"Columbia County, Arkansas",<HS,1927.0,0.13194111605614517,2020
0500000US05029,"Conway County, Arkansas",<HS,1955.0,0.13418903150525088,2020
0500000US05031,"Craighead County, Arkansas",<HS,7407.0,0.10553687450131084,2020
0500000US05033,"Crawford County, Arkansas",<HS,6605.0,0.15488697120345182,2020
0500000US05035,"Crittenden County, Arkansas",<HS,5024.0,0.16271010784726495,2020
0500000US05037,"Cross County, Arkansas",<HS,2127.0,0.18586158685774204,2020
0500000US05039,"Dallas County, Arkansas",<HS,644.0,0.12849162011173185,2020
0500000US05041,"Desha County, Arkansas",<HS,1537.0,0.19904169904169905,2020
0500000US05043,"Drew County, Arkansas",<HS,1549.0,0.1331213475421107,2020
0500000US05045,"Faulkner County, Arkansas",<HS,6140.0,0.07937944408532643,2020
0500000US05047,"Franklin County, Arkansas",<HS,1695.0,0.1391854163245196,2020
0500000US05049,"Fulton County, Arkansas",<HS,1398.0,0.15571396747605257,2020
0500000US05051,"Garland County, Arkansas",<HS,7654.0,0.10642676381434411,2020
0500000US05053,"Grant County, Arkansas",<HS,1254.0,0.09808369182635901,2020
0500000US05055,"Greene County, Arkansas",<HS,3337.0,0.10997231742683891,2020
0500000US05057,"Hempstead County, Arkansas",<HS,2297.0,0.15998049867669592,2020
0500000US05059,"Hot Spring County, Arkansas",<HS,3026.0,0.12537808162419722,2020
0500000US05061,"Howard County, Arkansas",<HS,1226.0,0.1398425915364435,2020
0500000US05063,"Independence County, Arkansas",<HS,3642.0,0.1444607512593709,2020
0500000US05065,"Izard County, Arkansas",<HS,1863.0,0.18010440835266822,2020
0500000US05067,"Jackson County, Arkansas",<HS,2039.0,0.16763956260790924,2020
0500000US05069,"Jefferson County, Arkansas",<HS,5815.0,0.12595031298057138,2020
0500000US05071,"Johnson County, Arkansas",<HS,3519.0,0.20169656674499914,2020
0500000US05073,"Lafayette County, Arkansas",<HS,1021.0,0.21021206506073709,2020
0500000US05075,"Lawrence County, Arkansas",<HS,1844.0,0.16347517730496453,2020
0500000US05077,"Lee County, Arkansas",<HS,1425.0,0.21795656163964516,2020
0500000US05079,"Lincoln County, Arkansas",<HS,2064.0,0.20693803890114298,2020
0500000US05081,"Little River County, Arkansas",<HS,896.0,0.10232983097304706,2020
0500000US05083,"Logan County, Arkansas",<HS,2047.0,0.1334158899824024,2020
0500000US05085,"Lonoke County, Arkansas",<HS,4938.0,0.1011387842044896,2020
0500000US05087,"Madison County, Arkansas",<HS,1770.0,0.1546932354483482,2020
0500000US05089,"Marion County, Arkansas",<HS,1768.0,0.13946517314822118,2020
0500000US05091,"Miller County, Arkansas",<HS,4244.0,0.1433154357883362,2020
0500000US05093,"Mississippi County, Arkansas",<HS,4840.0,0.17947196677543756,2020
0500000US05095,"Monroe County, Arkansas",<HS,1044.0,0.21142162818955043,2020
