age,sex,race,education,income,weight,year,prop
18-24,Female,Hispanic,Did not graduate high school,200k+,15657,2020,6.381248453009837e-05
18-24,Female,Hispanic,Did not graduate high school,25k-35k,53066,2020,0.00021627855298423707
18-24,Female,Hispanic,Did not graduate high school,35k-50k,70452,2020,0.0002871378399511075
18-24,Female,Hispanic,Did not graduate high school,50k-100k,143747,2020,0.0005858627587499553
18-24,Female,Hispanic,Did not graduate high school,<15k,47179,2020,0.00019228518922178648
18-24,Female,Hispanic,Graduated college or technical school,100k-200k,71714,2020,0.00029228131286909844
18-24,Female,Hispanic,Graduated college or technical school,15k-25k,12667,2020,5.162628482740985e-05
18-24,Female,Hispanic,Graduated college or technical school,200k+,25619,2020,0.00010441413049604586
18-24,Female,Hispanic,Graduated college or technical school,25k-35k,16249,2020,6.62252705581892e-05
18-24,Female,Hispanic,Graduated college or technical school,35k-50k,30635,2020,0.00012485760130162633
18-24,Female,Hispanic,Graduated college or technical school,50k-100k,88503,2020,0.00036070743554750566
18-24,Female,Hispanic,Graduated college or technical school,<15k,14613,2020,5.955750376434358e-05
18-24,Female,Hispanic,Graduated high school,100k-200k,212952,2020,0.000867918260564189
18-24,Female,Hispanic,Graduated high school,15k-25k,83407,2020,0.00033993791257596695
18-24,Female,Hispanic,Graduated high school,200k+,38053,2020,0.0001550907883901024
18-24,Female,Hispanic,Graduated high school,25k-35k,103092,2020,0.00042016712366206176
18-24,Female,Hispanic,Graduated high school,35k-50k,156876,2020,0.0006393719948357739
18-24,Female,Hispanic,Graduated high school,50k-100k,364884,2020,0.0014871402315437448
18-24,Female,Hispanic,Graduated high school,<15k,76042,2020,0.0003099207350474382
18-24,Female,NH-Black,Attended college or technical school,100k-200k,143840,2020,0.0005862417943928817
18-24,Female,NH-Black,Attended college or technical school,15k-25k,90341,2020,0.00036819848406039574
18-24,Female,NH-Black,Attended college or technical school,200k+,30078,2020,0.00012258746309614223
18-24,Female,NH-Black,Attended college or technical school,25k-35k,87756,2020,0.00035766292344787076
