age,sex,race,education,income,weight,year,prop
18-24,Female,AIAN,Attended college or technical school,100k-200k,17,2023,6.569970205880761e-08
18-24,Female,AIAN,Attended college or technical school,15k-25k,4102,2023,1.5852951637954636e-05
18-24,Female,AIAN,Attended college or technical school,200k+,14,2023,5.410563698960626e-08
18-24,Female,AIAN,Attended college or technical school,25k-35k,2661,2023,1.028393571638159e-05
18-24,Female,AIAN,Attended college or technical school,35k-50k,1301,2023,5.027959551676982e-06
18-24,Female,AIAN,Attended college or technical school,50k-100k,536,2023,2.0714729590306396e-06
18-24,Female,AIAN,Attended college or technical school,<15k,18147,2023,7.013249960359891e-05
18-24,Female,AIAN,Did not graduate high school,100k-200k,1,2023,3.8646883564004474e-09
18-24,Female,AIAN,Did not graduate high school,15k-25k,933,2023,3.605754236521617e-06
18-24,Female,AIAN,Did not graduate high school,25k-35k,321,2023,1.2405649624045436e-06
18-24,Female,AIAN,Did not graduate high school,35k-50k,232,2023,8.966076986849037e-07
18-24,Female,AIAN,Did not graduate high school,50k-100k,82,2023,3.1690444522483665e-07
18-24,Female,AIAN,Did not graduate high school,<15k,12040,2023,4.653084781106138e-05
18-24,Female,AIAN,Graduated college or technical school,100k-200k,24,2023,9.275252055361073e-08
18-24,Female,AIAN,Graduated college or technical school,15k-25k,647,2023,2.5004533665910893e-06
18-24,Female,AIAN,Graduated college or technical school,25k-35k,524,2023,2.0250966987538343e-06
18-24,Female,AIAN,Graduated college or technical school,35k-50k,785,2023,3.0337803597743513e-06
18-24,Female,AIAN,Graduated college or technical school,50k-100k,260,2023,1.0048189726641163e-06
18-24,Female,AIAN,Graduated college or technical school,<15k,2275,2023,8.792166010811018e-06
18-24,Female,AIAN,Graduated high school,100k-200k,161,2023,6.22214825380472e-07
18-24,Female,AIAN,Graduated high school,15k-25k,4747,2023,1.8345675627832924e-05
18-24,Female,AIAN,Graduated high school,200k+,70,2023,2.705281849480313e-07
18-24,Female,AIAN,Graduated high school,25k-35k,2931,2023,1.132740157260971e-05
18-24,Female,AIAN,Graduated high school,35k-50k,1376,2023,5.317811178407015e-06
18-24,Female,AIAN,Graduated high school,50k-100k,294,2023,1.1362183767817316e-06
18-24,Female,AIAN,Graduated high school,<15k,19083,2023,7.374984790518973e-05
18-24,Female,Asian,Attended college or technical school,100k-200k,733,2023,2.8328165652415277e-06
18-24,Female,Asian,Attended college or technical school,15k-25k,90332,2023,0.0003491050286103652
18-24,Female,Asian,Attended college or technical school,200k+,518,2023,2.0019085686154317e-06
18-24,Female,Asian,Attended college or technical school,25k-35k,48974,2023,0.0001892692475663555
18-24,Female,Asian,Attended college or technical school,35k-50k,24514,2023,9.473897036880056e-05
18-24,Female,Asian,Attended college or technical school,50k-100k,11509,2023,4.4478698293812744e-05
18-24,Female,Asian,Attended college or technical school,<15k,527854,2023,0.0020399912076794016
18-24,Female,Asian,Did not graduate high school,100k-200k,244,2023,9.429839589617091e-07
18-24,Female,Asian,Did not graduate high school,15k-25k,10146,2023,3.9211128064038935e-05
18-24,Female,Asian,Did not graduate high school,200k+,112,2023,4.3284509591685007e-07
18-24,Female,Asian,Did not graduate high school,25k-35k,5380,2023,2.0792023357434405e-05
18-24,Female,Asian,Did not graduate high school,35k-50k,2821,2023,1.0902285853405662e-05
18-24,Female,Asian,Did not graduate high school,50k-100k,1804,2023,6.971897794946406e-06
18-24,Female,Asian,Did not graduate high school,<15k,112331,2023,0.0004341243077628186
18-24,Female,Asian,Graduated college or technical school,100k-200k,9096,2023,3.515320528981847e-05
18-24,Female,Asian,Graduated college or technical school,15k-25k,46942,2023,0.0001814162008261498
18-24,Female,Asian,Graduated college or technical school,200k+,888,2023,3.431843260483597e-06
18-24,Female,Asian,Graduated college or technical school,25k-35k,36153,2023,0.00013972007814894537
18-24,Female,Asian,Graduated college or technical school,35k-50k,37818,2023,0.00014615478426235212
18-24,Female,Asian,Graduated college or technical school,50k-100k,49345,2023,0.00019070304694658008
18-24,Female,Asian,Graduated college or technical school,<15k,166149,2023,0.0006421141057275779
18-24,Female,Asian,Graduated high school,100k-200k,640,2023,2.4734005480962862e-06
18-24,Female,Asian,Graduated high school,15k-25k,56452,2023,0.00021816938709551804
18-24,Female,Asian,Graduated high school,200k+,426,2023,1.6463572398265905e-06
18-24,Female,Asian,Graduated high school,25k-35k,34712,2023,0.0001341510622273723
18-24,Female,Asian,Graduated high school,35k-50k,17038,2023,6.584656021635081e-05
18-24,Female,Asian,Graduated high school,50k-100k,8113,2023,3.135421663547683e-05
18-24,Female,Asian,Graduated high school,<15k,326374,2023,0.0012613337976318396
18-24,Female,Hispanic,Attended college or technical school,100k-200k,1337,2023,5.167088332507398e-06
18-24,Female,Hispanic,Attended college or technical school,15k-25k,249938,2023,0.000965932478422015
18-24,Female,Hispanic,Attended college or technical school,200k+,539,2023,2.083067024099841e-06
18-24,Female,Hispanic,Attended college or technical school,25k-35k,152555,2023,0.0005895775322106703
18-24,Female,Hispanic,Attended college or technical school,35k-50k,75682,2023,0.00029248734418909863
18-24,Female,Hispanic,Attended college or technical school,50k-100k,25486,2023,9.84954474512218e-05
18-24,Female,Hispanic,Attended college or technical school,<15k,983169,2023,0.0037996417866738713
18-24,Female,Hispanic,Did not graduate high school,100k-200k,560,2023,2.1642254795842505e-06
