age,sex,race,education,income,weight,year,prop
18-24,Female,Hispanic,Did not graduate high school,35k-50k,7105,2020,2.8050127540041202e-05
18-24,Female,Hispanic,Did not graduate high school,50k-100k,3379,2020,1.3340095842054781e-05
18-24,Female,Hispanic,Did not graduate high school,<15k,386547,2020,0.001526065116146419
18-24,Female,Hispanic,Graduated college or technical school,100k-200k,795,2020,3.138613848604188e-06
18-24,Female,Hispanic,Graduated college or technical school,15k-25k,46837,2020,0.00018490975701518787
18-24,Female,Hispanic,Graduated college or technical school,200k+,107,2020,4.2242978842848816e-07
18-24,Female,Hispanic,Graduated college or technical school,25k-35k,35549,2020,0.00014034538830695633
18-24,Female,Hispanic,Graduated college or technical school,35k-50k,30306,2020,0.0001196463286739604
18-24,Female,Hispanic,Graduated college or technical school,50k-100k,21084,2020,8.323840803015183e-05
18-24,Female,Hispanic,Graduated college or technical school,<15k,128173,2020,0.0005060195632920057
18-24,Female,Hispanic,Graduated high school,100k-200k,760,2020,3.0004358804266452e-06
18-24,Female,Hispanic,Graduated high school,15k-25k,194334,2020,0.000767219350508989
18-24,Female,Hispanic,Graduated high school,200k+,435,2020,1.7173547473494614e-06
18-24,Female,Hispanic,Graduated high school,25k-35k,90245,2020,0.00035628202109092445
18-24,Female,Hispanic,Graduated high school,35k-50k,34611,2020,0.00013664221875979817
18-24,Female,Hispanic,Graduated high school,50k-100k,9581,2020,3.7825231803115376e-05
18-24,Female,Hispanic,Graduated high school,<15k,750248,2020,0.0029619355505504335
18-24,Female,NH-Black,Attended college or technical school,100k-200k,556,2020,2.1950557230489665e-06
18-24,Female,NH-Black,Attended college or technical school,15k-25k,151697,2020,0.0005988909496751063
18-24,Female,NH-Black,Attended college or technical school,200k+,843,2020,3.3281150621048184e-06
18-24,Female,NH-Black,Attended college or technical school,25k-35k,70085,2020,0.00027669151142065975
18-24,Female,NH-Black,Attended college or technical school,35k-50k,28812,2020,0.00011374810340375329
18-24,Female,NH-Black,Attended college or technical school,50k-100k,8566,2020,3.3818070725966635e-05
18-24,Female,NH-Black,Attended college or technical school,<15k,740423,2020,0.0029231470209120235
18-24,Female,NH-Black,Did not graduate high school,100k-200k,55,2020,2.171368071361388e-07
18-24,Female,NH-Black,Did not graduate high school,15k-25k,20553,2020,8.11420508558011e-05
18-24,Female,NH-Black,Did not graduate high school,200k+,52,2020,2.052929812923494e-07
18-24,Female,NH-Black,Did not graduate high school,25k-35k,6319,2020,2.4947045168968382e-05
18-24,Female,NH-Black,Did not graduate high school,35k-50k,3246,2020,1.2815019562980118e-05
18-24,Female,NH-Black,Did not graduate high school,50k-100k,1067,2020,4.212454058441092e-06
18-24,Female,NH-Black,Did not graduate high school,<15k,224408,2020,0.0008859497566510297
18-24,Female,NH-Black,Graduated college or technical school,100k-200k,530,2020,2.092409232402792e-06
18-24,Female,NH-Black,Graduated college or technical school,15k-25k,32240,2020,0.00012728164840125663
18-24,Female,NH-Black,Graduated college or technical school,200k+,202,2020,7.974842734818188e-07
18-24,Female,NH-Black,Graduated college or technical school,25k-35k,24399,2020,9.63258355875391e-05
18-24,Female,NH-Black,Graduated college or technical school,35k-50k,22252,2020,8.784960422533382e-05
18-24,Female,NH-Black,Graduated college or technical school,50k-100k,14045,2020,5.5448844658673986e-05
18-24,Female,NH-Black,Graduated college or technical school,<15k,90885,2020,0.0003588087039375995
18-24,Female,NH-Black,Graduated high school,100k-200k,371,2020,1.4646864626819544e-06
18-24,Female,NH-Black,Graduated high school,15k-25k,112737,2020,0.0004450791313837614
18-24,Female,NH-Black,Graduated high school,200k+,265,2020,1.046204616201396e-06
