GEO_ID,NAME,education,population,year,prop
0500000US02050,"Bethel Census Area, Alaska",Did not graduate high school,2157.0,2020,0.19359181475498116
0500000US02060,"Bristol Bay Borough, Alaska",Did not graduate high school,151.0,2020,0.173963133640553
0500000US02063,"Chugach Census Area, Alaska",Did not graduate high school,531.0,2020,0.08900435802883004
0500000US02066,"Copper River Census Area, Alaska",Did not graduate high school,240.0,2020,0.09791921664626684
0500000US02068,"Denali Borough, Alaska",Did not graduate high school,218.0,2020,0.08245083207261725
0500000US02070,"Dillingham Census Area, Alaska",Did not graduate high school,579.0,2020,0.1536624203821656
0500000US02090,"Fairbanks North Star Borough, Alaska",Did not graduate high school,5082.0,2020,0.07496902106567534
0500000US02100,"Haines Borough, Alaska",Did not graduate high school,212.0,2020,0.08915054667788057
0500000US02105,"Hoonah-Angoon Census Area, Alaska",Did not graduate high school,229.0,2020,0.10538426138978371
0500000US02110,"Juneau City and Borough, Alaska",Did not graduate high school,1521.0,2020,0.05983477576711251
0500000US02122,"Kenai Peninsula Borough, Alaska",Did not graduate high school,3971.0,2020,0.08902589395807645
0500000US02130,"Ketchikan Gateway Borough, Alaska",Did not graduate high school,959.0,2020,0.08855032317636195
0500000US02150,"Kodiak Island Borough, Alaska",Did not graduate high school,1630.0,2020,0.15182563338301044
0500000US02158,"Kusilvak Census Area, Alaska",Did not graduate high school,1160.0,2020,0.25168149273161206
0500000US02164,"Lake and Peninsula Borough, Alaska",Did not graduate high school,195.0,2020,0.18327067669172933
0500000US02170,"Matanuska-Susitna Borough, Alaska",Did not graduate high school,5718.0,2020,0.07753325468819916
0500000US02180,"Nome Census Area, Alaska",Did not graduate high school,1101.0,2020,0.1728414442700157
0500000US02185,"North Slope Borough, Alaska",Did not graduate high school,1129.0,2020,0.15429820964876315
0500000US02188,"Northwest Arctic Borough, Alaska",Did not graduate high school,893.0,2020,0.17913741223671012
0500000US02195,"Petersburg Borough, Alaska",Did not graduate high school,539.0,2020,0.17562724014336917
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",Did not graduate high school,642.0,2020,0.12640283520378026
0500000US02220,"Sitka City and Borough, Alaska",Did not graduate high school,601.0,2020,0.08340271995559256
0500000US02230,"Skagway Municipality, Alaska",Did not graduate high school,301.0,2020,0.20462270564242013
0500000US02240,"Southeast Fairbanks Census Area, Alaska",Did not graduate high school,750.0,2020,0.13494062612450522
0500000US02275,"Wrangell City and Borough, Alaska",Did not graduate high school,449.0,2020,0.1861525704809287
0500000US02282,"Yakutat City and Borough, Alaska",Did not graduate high school,139.0,2020,0.20144927536231885
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",Did not graduate high school,597.0,2020,0.15206316861946
0500000US04001,"Apache County, Arizona",Did not graduate high school,10063.0,2020,0.20355611295412251
0500000US04003,"Cochise County, Arizona",Did not graduate high school,12587.0,2020,0.1321816749803098
0500000US04005,"Coconino County, Arizona",Did not graduate high school,9574.0,2020,0.10582396569066331
0500000US04007,"Gila County, Arizona",Did not graduate high school,6688.0,2020,0.15195855675724804
0500000US04009,"Graham County, Arizona",Did not graduate high school,4690.0,2020,0.17401306025526864
0500000US04011,"Greenlee County, Arizona",Did not graduate high school,1474.0,2020,0.20810391077227164
0500000US04012,"La Paz County, Arizona",Did not graduate high school,4954.0,2020,0.24502918191710357
0500000US04013,"Maricopa County, Arizona",Did not graduate high school,364086.0,2020,0.12121545052032093
0500000US04015,"Mohave County, Arizona",Did not graduate high school,26547.0,2020,0.15375304065794046
0500000US04017,"Navajo County, Arizona",Did not graduate high school,13858.0,2020,0.17956824837380464
0500000US04019,"Pima County, Arizona",Did not graduate high school,84678.0,2020,0.11748008424136984
0500000US04021,"Pinal County, Arizona",Did not graduate high school,45773.0,2020,0.14041314404211197
0500000US04023,"Santa Cruz County, Arizona",Did not graduate high school,8658.0,2020,0.2532467532467532
0500000US04025,"Yavapai County, Arizona",Did not graduate high school,18043.0,2020,0.09485083453804705
0500000US04027,"Yuma County, Arizona",Did not graduate high school,39906.0,2020,0.2744057155823884
0500000US05001,"Arkansas County, Arkansas",Did not graduate high school,2561.0,2020,0.17964365881032548
0500000US05003,"Ashley County, Arkansas",Did not graduate high school,3128.0,2020,0.1983261476033477
0500000US05005,"Baxter County, Arkansas",Did not graduate high school,5016.0,2020,0.13998269751346523
0500000US05007,"Benton County, Arkansas",Did not graduate high school,22824.0,2020,0.12020033388981637
