age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
35-39,Male,Graduated college or technical school,50k-100k,NH-White,0.313937612120334,4209,1,0.314119063843377,0.3306311193174031
75-79,Female,Attended college or technical school,50k-100k,NH-White,0.2487935119428272,4152,1,0.249444754616023,0.33687685356698716
60-64,Male,Graduated college or technical school,200k+,NH-White,0.2938039351175138,4105,1,0.2941360231862113,0.23990848007607382
75-79,Male,Attended college or technical school,50k-100k,NH-White,0.3319003446790216,3994,1,0.3319575742707759,0.31767180226558916
45-49,Male,Graduated college or technical school,200k+,NH-White,0.269401730700455,3917,1,0.2699351105577076,0.26903332734723917
40-44,Male,Graduated college or technical school,200k+,NH-White,0.2595069172486698,3895,1,0.2601189158983844,0.2522001265895469
60-64,Female,Graduated high school,50k-100k,NH-White,0.3924312772549039,3866,1,0.3920242864694682,0.43366527121053416
50-54,Female,Graduated college or technical school,200k+,NH-White,0.2081021905607523,3774,1,0.2091390560972316,0.2908082911795878
70-74,Female,Graduated college or technical school,35k-50k,NH-White,0.3673774869064308,3746,1,0.367156612332913,0.3135793580194571
50-54,Male,Graduated college or technical school,50k-100k,NH-White,0.3934844406040649,3733,1,0.3930546688792357,0.3746685934067635
40-44,Male,Graduated college or technical school,50k-100k,NH-White,0.3437547631941338,3725,1,0.3437213835195041,0.34968093251695803
55-59,Male,Attended college or technical school,50k-100k,NH-White,0.4627634440400919,3696,1,0.4617716026274206,0.43349890787356404
65-69,Female,Graduated high school,50k-100k,NH-White,0.3869902302613288,3667,1,0.3866054846053239,0.4076033895647997
50-54,Female,Attended college or technical school,50k-100k,NH-White,0.4654397088900994,3651,1,0.4644139308273138,0.4750857823201585
55-59,Male,Graduated high school,50k-100k,NH-White,0.4598116119396831,3644,1,0.4588298356357634,0.435292027855301
70-74,Female,Attended college or technical school,35k-50k,NH-White,0.3645011904986431,3551,1,0.3642923847188694,0.3874161310983651
