age_group,sex,education,income_group,race_group,predicted,observed,n,reliable
40-44,Male,Graduated college or technical school,50k-100k,NH-White,0.3402359320987574,0.3437547631941338,3725,1
55-59,Male,Attended college or technical school,50k-100k,NH-White,0.4229446962564569,0.4627634440400919,3696,1
65-69,Female,Graduated high school,50k-100k,NH-White,0.3973346650247108,0.3869902302613288,3667,1
50-54,Female,Attended college or technical school,50k-100k,NH-White,0.46418597459199284,0.4654397088900994,3651,1
55-59,Male,Graduated high school,50k-100k,NH-White,0.4247200115951003,0.4598116119396831,3644,1
70-74,Female,Attended college or technical school,35k-50k,NH-White,0.3774060170809451,0.3645011904986431,3551,1
18-24,Male,Graduated high school,50k-100k,NH-White,0.20439527624997186,0.1790452078162642,3487,1
80+,Female,Attended college or technical school,25k-35k,NH-White,0.23338953680070024,0.1755264888191238,3470,1
25-29,Male,Graduated college or technical school,100k-200k,NH-White,0.23658449247912572,0.1925696244934512,3459,1
80+,Female,Graduated high school,35k-50k,NH-White,0.2297587758459192,0.1996361806001579,3447,1
45-49,Female,Graduated college or technical school,200k+,NH-White,0.27825914927276213,0.1892476408708701,3444,1
40-44,Female,Graduated college or technical school,200k+,NH-White,0.2611065380990845,0.1760335108818833,3426,1
75-79,Female,Graduated college or technical school,100k-200k,NH-White,0.2442901420046776,0.1836183995074781,3402,1
65-69,Female,Attended college or technical school,35k-50k,NH-White,0.4022206593824908,0.3709419611617133,3387,1
80+,Male,Attended college or technical school,50k-100k,NH-White,0.2088892368056758,0.2441421204210883,3382,1
55-59,Female,Graduated college or technical school,200k+,NH-White,0.26645021260432195,0.1981701777382153,3342,1
35-39,Male,Graduated college or technical school,200k+,NH-White,0.22937045901609115,0.2163742648910414,3339,1
55-59,Male,Attended college or technical school,100k-200k,NH-White,0.40206395341887124,0.4545710467534205,3329,1
80+,Female,Attended college or technical school,50k-100k,NH-White,0.22363381695241005,0.1767392072293063,3328,1
70-74,Male,Graduated high school,50k-100k,NH-White,0.3525453604152949,0.3674934341156134,3302,1
45-49,Male,Graduated college or technical school,50k-100k,NH-White,0.3600436040045412,0.3986283816739766,3298,1
80+,Female,Attended college or technical school,35k-50k,NH-White,0.22847330208634223,0.1931556981245585,3286,1
80+,Female,Graduated college or technical school,35k-50k,NH-White,0.1763327132351979,0.1978844433960542,3285,1
60-64,Male,Attended college or technical school,100k-200k,NH-White,0.37980164116501614,0.4362130843611513,3284,1
65-69,Female,Graduated college or technical school,35k-50k,NH-White,0.32732867826629203,0.3473554241367129,3268,1
50-54,Male,Attended college or technical school,50k-100k,NH-White,0.4426514929484354,0.4523634087091824,3236,1
50-54,Male,Attended college or technical school,100k-200k,NH-White,0.4215096745319017,0.5115405774483114,3233,1
35-39,Male,Attended college or technical school,50k-100k,NH-White,0.3958568962119592,0.404870638322145,3117,1
65-69,Male,Graduated college or technical school,200k+,NH-White,0.21416818009669686,0.2675691464190971,3109,1
40-44,Male,Attended college or technical school,50k-100k,NH-White,0.416248941712788,0.4239979061105673,3052,1
70-74,Female,Graduated high school,50k-100k,NH-White,0.37263309206480455,0.3339483149044355,3015,1
70-74,Male,Graduated college or technical school,35k-50k,NH-White,0.2866627904081218,0.3094696311486917,3006,1
70-74,Female,Attended college or technical school,25k-35k,NH-White,0.3839259595144464,0.3916393190175581,2978,1
70-74,Male,Attended college or technical school,35k-50k,NH-White,0.3572079212772969,0.3817541683952392,2974,1
30-34,Male,Attended college or technical school,50k-100k,NH-White,0.36908748083748355,0.3594182420865593,2966,1
45-49,Male,Attended college or technical school,100k-200k,NH-White,0.41646030831945363,0.4814193439723943,2950,1
25-29,Female,Graduated college or technical school,100k-200k,NH-White,0.25265560955604255,0.2008308605456196,2943,1
75-79,Female,Graduated college or technical school,35k-50k,NH-White,0.26592557270820294,0.2878702429071389,2943,1
55-59,Female,Attended college or technical school,100k-200k,NH-White,0.4231251053955785,0.3956548548028049,2930,1
75-79,Female,Attended college or technical school,35k-50k,NH-White,0.3337651008947784,0.3116836297040156,2909,1
45-49,Female,Attended college or technical school,50k-100k,NH-White,0.45903154574594845,0.4661330206769238,2907,1
60-64,Female,Attended college or technical school,100k-200k,NH-White,0.4004793311567446,0.331554555797749,2893,1
50-54,Male,Graduated high school,50k-100k,NH-White,0.4444457285623082,0.4458559195594507,2825,1
80+,Male,Graduated college or technical school,35k-50k,NH-White,0.16404246917219661,0.2002633606463777,2815,1
55-59,Female,Graduated high school,50k-100k,NH-White,0.44608118483565534,0.4110227051400217,2804,1
35-39,Female,Attended college or technical school,50k-100k,NH-White,0.4168199923867564,0.4169816019216451,2794,1
40-44,Female,Attended college or technical school,50k-100k,NH-White,0.4375085543044917,0.4518924810049362,2792,1
65-69,Male,Graduated high school,35k-50k,NH-White,0.38322755258556895,0.399931458821589,2784,1
70-74,Female,Graduated high school,25k-35k,NH-White,0.3856471783219495,0.3873246429496865,2773,1
40-44,Male,Attended college or technical school,100k-200k,NH-White,0.3954717725398367,0.4251866647034635,2748,1
65-69,Female,Attended college or technical school,25k-35k,NH-White,0.4088871255048523,0.3762608351595208,2740,1
45-49,Male,Attended college or technical school,50k-100k,NH-White,0.4375407035714994,0.4470724027245369,2736,1
50-54,Female,Attended college or technical school,100k-200k,NH-White,0.44283384818201266,0.3772119273400485,2735,1
75-79,Female,Graduated high school,25k-35k,NH-White,0.3415777724569833,0.34888236725061,2732,1
35-39,Female,Graduated college or technical school,200k+,NH-White,0.24510985403064445,0.1503113911946032,2714,1
70-74,Female,Graduated high school,35k-50k,NH-White,0.379116039045178,0.3908503663550483,2701,1
80+,Female,Attended college or technical school,15k-25k,NH-White,0.23155170618637305,0.2398383339131629,2671,1
60-64,Female,Graduated college or technical school,200k+,NH-White,0.24856162212893357,0.1746213234414116,2656,1
65-69,Male,Graduated high school,25k-35k,NH-White,0.38978494652110635,0.3970744260900381,2644,1
65-69,Female,Graduated high school,25k-35k,NH-White,0.4106454996397624,0.4111924226509116,2626,1
75-79,Female,Attended college or technical school,25k-35k,NH-White,0.3399440721985732,0.3474891954280323,2620,1
65-69,Male,Attended college or technical school,35k-50k,NH-White,0.38151040997094415,0.386341674343193,2598,1
65-69,Female,Graduated high school,35k-50k,NH-White,0.40396999637722053,0.3947948889631583,2591,1
65-69,Male,Attended college or technical school,100k-200k,NH-White,0.3550373957371973,0.4151132333401417,2575,1
80+,Male,Graduated high school,25k-35k,NH-White,0.21942792239431028,0.2060938905948167,2562,1
40-44,Male,Graduated high school,50k-100k,NH-White,0.4180165456540483,0.4644817339904866,2561,1
80+,Male,Graduated high school,35k-50k,NH-White,0.21472283876838824,0.2144144941829706,2553,1
75-79,Female,Graduated high school,35k-50k,NH-White,0.33538424914072795,0.3063076081204344,2543,1
75-79,Male,Graduated high school,50k-100k,NH-White,0.31034102131270425,0.3756267864635257,2526,1
30-34,Male,Graduated high school,50k-100k,NH-White,0.3707823195647417,0.3422114262250293,2507,1
75-79,Female,Graduated high school,15k-25k,NH-White,0.3392667676415239,0.3501678700252458,2489,1
80+,Female,Graduated high school,50k-100k,NH-White,0.2249000528267311,0.2320415892742958,2478,1
70-74,Male,Graduated college or technical school,200k+,NH-White,0.1971092396339418,0.2010847486351597,2468,1
35-39,Male,Graduated high school,50k-100k,NH-White,0.39759700408215126,0.3707779655318755,2466,1
60-64,Female,Attended college or technical school,35k-50k,NH-White,0.4280867977855983,0.3999243078054539,2453,1
80+,Male,Graduated high school,50k-100k,NH-White,0.21009474040646242,0.2156764605526275,2444,1
25-29,Male,Attended college or technical school,50k-100k,NH-White,0.318425313122315,0.3186194741881953,2428,1
70-74,Female,Graduated high school,15k-25k,NH-White,0.383212048695769,0.4028462023708554,2416,1
45-49,Male,Graduated high school,50k-100k,NH-White,0.43933057356130184,0.4467647050202549,2414,1
18-24,Male,Attended college or technical school,50k-100k,NH-White,0.2032139999394507,0.1800403293021158,2410,1
65-69,Female,Graduated high school,15k-25k,NH-White,0.40815761686359026,0.4117986500842299,2396,1
75-79,Female,Graduated high school,50k-100k,NH-White,0.32925124431515057,0.290078359690432,2389,1
35-39,Male,Attended college or technical school,100k-200k,NH-White,0.37544144831197224,0.4026442619541372,2373,1
25-29,Male,Graduated high school,50k-100k,NH-White,0.32000592876489514,0.3123905552442896,2368,1
70-74,Male,Graduated high school,35k-50k,NH-White,0.3588793314451216,0.3816607643787233,2350,1
55-59,Male,Graduated high school,100k-200k,NH-White,0.4038130702150278,0.4590265331655664,2315,1
60-64,Male,Graduated high school,100k-200k,NH-White,0.3815158490269942,0.4293555773706947,2306,1
80+,Male,Attended college or technical school,35k-50k,NH-White,0.21349800879657677,0.2071026212064453,2299,1
75-79,Male,Graduated college or technical school,35k-50k,NH-White,0.24929362383766437,0.2813231725575714,2298,1
30-34,Female,Attended college or technical school,50k-100k,NH-White,0.389549134537983,0.386297994002351,2286,1
65-69,Male,Graduated college or technical school,35k-50k,NH-White,0.3084778829401696,0.3311401298605338,2259,1
65-69,Female,Attended college or technical school,15k-25k,NH-White,0.4064025354057097,0.420352363224834,2183,1
70-74,Female,Attended college or technical school,15k-25k,NH-White,0.38149493247267396,0.4225431073944859,2177,1
70-74,Male,Attended college or technical school,25k-35k,NH-White,0.36358327551455616,0.3917768904729603,2176,1
70-74,Male,Graduated high school,25k-35k,NH-White,0.3652675143425525,0.3998140086387891,2168,1
45-49,Female,Attended college or technical school,100k-200k,NH-White,0.4377226090566212,0.4375977317925894,2168,1
60-64,Female,Graduated college or technical school,35k-50k,NH-White,0.35121605437884656,0.3490450179938008,2141,1
65-69,Male,Graduated high school,15k-25k,NH-White,0.3873402023070659,0.4091432977122674,2115,1
50-54,Male,Graduated high school,100k-200k,NH-White,0.42328339197557435,0.5021785182794467,2108,1
80+,Female,Graduated college or technical school,100k-200k,NH-White,0.16038160292895315,0.1207164677645505,2101,1
70-74,Female,Graduated college or technical school,25k-35k,NH-White,0.31066411739453426,0.3684559887747992,2101,1
65-69,Male,Attended college or technical school,25k-35k,NH-White,0.3880569533373205,0.424395248324433,2095,1
80+,Female,Graduated college or technical school,25k-35k,NH-White,0.18039133559334528,0.1712573303095228,2090,1
75-79,Male,Attended college or technical school,35k-50k,NH-White,0.31471776102301424,0.3518172328258207,2088,1
60-64,Female,Attended college or technical school,25k-35k,NH-White,0.4348695725596965,0.3961164398466813,2084,1
60-64,Male,Graduated high school,35k-50k,NH-White,0.4087090373295697,0.4091991333847676,2076,1
60-64,Female,Graduated high school,35k-50k,NH-White,0.42986759339623115,0.4087211577424717,2070,1
75-79,Male,Graduated high school,35k-50k,NH-White,0.3162885485360699,0.3696399814583078,2045,1
18-24,Male,Graduated college or technical school,50k-100k,NH-White,0.15566522181275627,0.1868430180041234,2043,1
65-69,Female,Attended college or technical school,100k-200k,NH-White,0.37518460063236053,0.3173093762957275,2033,1
40-44,Female,Attended college or technical school,100k-200k,NH-White,0.4164285593787189,0.3549540618360968,2029,1
60-64,Female,Graduated high school,25k-35k,NH-White,0.4366570100952256,0.4045745607384019,1969,1
50-54,Female,Graduated high school,50k-100k,NH-White,0.46599444415338687,0.477591492739771,1968,1
65-69,Female,Graduated college or technical school,25k-35k,NH-White,0.3334483508276853,0.3887705447732346,1962,1
18-24,Male,Graduated high school,35k-50k,NH-White,0.20893127407920478,0.2143040668516162,1954,1
60-64,Male,Graduated high school,25k-35k,NH-White,0.4154081685198048,0.4157548738852342,1943,1
60-64,Female,Graduated high school,15k-25k,NH-White,0.434127808503395,0.4336801053914279,1939,1
30-34,Male,Graduated college or technical school,200k+,NH-White,0.2099270955901614,0.1836282707779888,1921,1
60-64,Male,Graduated high school,15k-25k,NH-White,0.4129116850082692,0.3942251417696796,1903,1
18-24,Female,Graduated college or technical school,50k-100k,NH-White,0.16745465568408668,0.1305263325194459,1902,1
40-44,Male,Graduated high school,100k-200k,NH-White,0.3972113029961815,0.4277401830272415,1895,1
75-79,Female,Attended college or technical school,15k-25k,NH-White,0.3376384322922047,0.3565564231224978,1892,1
45-49,Male,Graduated high school,100k-200k,NH-White,0.41822816563760906,0.4675521712748453,1839,1
18-24,Male,Graduated high school,100k-200k,NH-White,0.19071959548378736,0.1585109535318135,1827,1
70-74,Male,Attended college or technical school,100k-200k,NH-White,0.33151441685921496,0.3424653960325751,1804,1
60-64,Female,Attended college or technical school,15k-25k,NH-White,0.43234276727640625,0.4555546527466334,1799,1
75-79,Male,Graduated college or technical school,200k+,NH-White,0.16863416238875312,0.1919753553273146,1777,1
75-79,Male,Graduated high school,25k-35k,NH-White,0.3223011021968421,0.354592226100437,1755,1
60-64,Male,Attended college or technical school,35k-50k,NH-White,0.4069532183506849,0.4117244350115058,1716,1
30-34,Male,Attended college or technical school,100k-200k,NH-White,0.3492522248122186,0.3720135014306328,1691,1
65-69,Female,Graduated college or technical school,200k+,NH-White,0.2291766897823042,0.1535105954858655,1658,1
80+,Male,Attended college or technical school,25k-35k,NH-White,0.21818376310239082,0.1834656052422537,1636,1
75-79,Female,Graduated college or technical school,25k-35k,NH-White,0.27136258673477714,0.2937018157066018,1625,1
80+,Male,Graduated high school,15k-25k,NH-White,0.21766860269941163,0.2025124892789826,1619,1
70-74,Male,Graduated college or technical school,25k-35k,NH-White,0.292354074895965,0.3460139671910828,1618,1
35-39,Female,Attended college or technical school,100k-200k,NH-White,0.396033696330287,0.3496712187331233,1614,1
18-24,Female,Attended college or technical school,50k-100k,NH-White,0.21766899511356488,0.2143750620391916,1609,1
35-39,Male,Graduated high school,100k-200k,NH-White,0.3771479752757618,0.400317241516357,1571,1
70-74,Male,Graduated high school,15k-25k,NH-White,0.3628848488455224,0.3456797880437981,1567,1
65-69,Male,Graduated high school,100k-200k,NH-White,0.3567043033061256,0.3973575664835075,1551,1
25-29,Female,Attended college or technical school,50k-100k,NH-White,0.3375860795232581,0.3840948097445786,1545,1
18-24,Male,Graduated high school,25k-35k,NH-White,0.21354420789538844,0.1960790616120675,1543,1
55-59,Female,Attended college or technical school,35k-50k,NH-White,0.4511172231454429,0.4213426137126927,1514,1
80+,Male,Graduated college or technical school,25k-35k,NH-White,0.16787635965048517,0.2108513803602572,1487,1
75-79,Male,Attended college or technical school,25k-35k,NH-White,0.320714518370127,0.3956112840172182,1487,1
70-74,Female,Attended college or technical school,100k-200k,NH-White,0.35105567220793116,0.2710438324772502,1482,1
18-24,Male,Attended college or technical school,100k-200k,NH-White,0.18959837455675255,0.1895844609550091,1464,1
55-59,Male,Graduated high school,35k-50k,NH-White,0.4314846626893401,0.4181048765877126,1451,1
65-69,Male,Graduated college or technical school,25k-35k,NH-White,0.31441052254365,0.3281624108283824,1443,1
30-34,Female,Graduated college or technical school,200k+,NH-White,0.22472397854924392,0.1233170948392374,1411,1
18-24,Female,Graduated high school,50k-100k,NH-White,0.2189110466893316,0.2572923923813209,1404,1
65-69,Male,Attended college or technical school,15k-25k,NH-White,0.38561618173246975,0.34201090498951,1403,1
60-64,Male,Attended college or technical school,25k-35k,NH-White,0.4136437408494843,0.4004761235401846,1395,1
55-59,Female,Graduated college or technical school,35k-50k,NH-White,0.37281270282361284,0.3501990129330971,1395,1
40-44,Female,Graduated high school,50k-100k,NH-White,0.43929839563315515,0.416490704047683,1394,1
